:START_ID	:END_ID	:TYPE	source	score
CID:100002367	C0001403	compoundIndication	sider	1.0
CID:116129617	C0001403	compoundIndication	sider	1.0
CID:100003370	C0001403	compoundIndication	sider	1.0
CID:100000923	C0001403	compoundIndication	sider	1.0
CID:100003640	C0001403	compoundIndication	sider	1.0
CID:100031378	C0001403	compoundIndication	sider	1.0
CID:100003003	C0001403	compoundIndication	sider	1.0
CID:100003658	C0001957	compoundIndication	sider	1.0
CID:100005184	C0001957	compoundIndication	sider	1.0
CID:100031264	C0001957	compoundIndication	sider	1.0
CID:100060706	C0003615	compoundIndication	sider	1.0
CID:100064778	C0003615	compoundIndication	sider	1.0
CID:100001690	C0004364	compoundIndication	sider	1.0
CID:100004666	C0004364	compoundIndication	sider	1.0
CID:100005538	C0004364	compoundIndication	sider	1.0
CID:100001972	C0004364	compoundIndication	sider	1.0
CID:100002978	C0004364	compoundIndication	sider	1.0
CID:100014917	C0004364	compoundIndication	sider	1.0
CID:100054949	C0004364	compoundIndication	sider	1.0
CID:100002891	C0004364	compoundIndication	sider	1.0
CID:100003793	C0004364	compoundIndication	sider	1.0
CID:100054688	C0004364	compoundIndication	sider	1.0
CID:100003899	C0004364	compoundIndication	sider	1.0
CID:100060787	C0004364	compoundIndication	sider	1.0
CID:100003121	C0004364	compoundIndication	sider	1.0
CID:100003454	C0004364	compoundIndication	sider	1.0
CID:100163296	C0004364	compoundIndication	sider	1.0
CID:100001875	C0004364	compoundIndication	sider	1.0
CID:100002022	C0004364	compoundIndication	sider	1.0
CID:105361912	C0004364	compoundIndication	sider	1.0
CID:100005076	C0004364	compoundIndication	sider	1.0
CID:100003414	C0004364	compoundIndication	sider	1.0
CID:100004463	C0004364	compoundIndication	sider	1.0
CID:100005718	C0004364	compoundIndication	sider	1.0
CID:100060613	C0004364	compoundIndication	sider	1.0
CID:100005215	C0004364	compoundIndication	sider	1.0
CID:100005329	C0004364	compoundIndication	sider	1.0
CID:100064147	C0004364	compoundIndication	sider	1.0
CID:100003706	C0004364	compoundIndication	sider	1.0
CID:100003365	C0004364	compoundIndication	sider	1.0
CID:100003672	C0004364	compoundIndication	sider	1.0
CID:100002907	C0004364	compoundIndication	sider	1.0
CID:100003310	C0004364	compoundIndication	sider	1.0
CID:100004048	C0004364	compoundIndication	sider	1.0
CID:100004735	C0004364	compoundIndication	sider	1.0
CID:100005582	C0004364	compoundIndication	sider	1.0
CID:100005726	C0004364	compoundIndication	sider	1.0
CID:100001972	C0005716	compoundIndication	sider	1.0
CID:100003793	C0005716	compoundIndication	sider	1.0
CID:100003823	C0005716	compoundIndication	sider	1.0
CID:100003512	C0005716	compoundIndication	sider	1.0
CID:100441382	C0005741	compoundIndication	sider	1.0
CID:100002764	C0005741	compoundIndication	sider	1.0
CID:100011973	C0005741	compoundIndication	sider	1.0
CID:100003443	C0005741	compoundIndication	sider	1.0
CID:100003467	C0005741	compoundIndication	sider	1.0
CID:100004195	C0005779	compoundIndication	sider	1.0
CID:116131310	C0005779	compoundIndication	sider	1.0
CID:100005526	C0005779	compoundIndication	sider	1.0
CID:109812415	C0005779	compoundIndication	sider	1.0
CID:105001396	C0005779	compoundIndication	sider	1.0
CID:100004920	C0005779	compoundIndication	sider	1.0
CID:100000450	C0005779	compoundIndication	sider	1.0
CID:100001690	C0007137	compoundIndication	sider	1.0
CID:100003143	C0007137	compoundIndication	sider	1.0
CID:100004865	C0007137	compoundIndication	sider	1.0
CID:100023957	C0007137	compoundIndication	sider	1.0
CID:100060751	C0007137	compoundIndication	sider	1.0
CID:100004112	C0007137	compoundIndication	sider	1.0
CID:100072466	C0007137	compoundIndication	sider	1.0
CID:100005379	C0007642	compoundIndication	sider	1.0
CID:125880656	C0007642	compoundIndication	sider	1.0
CID:100054688	C0007642	compoundIndication	sider	1.0
CID:100002631	C0007642	compoundIndication	sider	1.0
CID:100003364	C0007642	compoundIndication	sider	1.0
CID:100002658	C0007642	compoundIndication	sider	1.0
CID:100002650	C0007642	compoundIndication	sider	1.0
CID:100004583	C0007642	compoundIndication	sider	1.0
CID:126275995	C0007642	compoundIndication	sider	1.0
CID:100003040	C0007642	compoundIndication	sider	1.0
CID:100003928	C0007642	compoundIndication	sider	1.0
CID:116132344	C0010481	compoundIndication	sider	1.0
CID:100004196	C0010481	compoundIndication	sider	1.0
CID:100002145	C0010481	compoundIndication	sider	1.0
CID:100004174	C0010481	compoundIndication	sider	1.0
CID:100000450	C0010481	compoundIndication	sider	1.0
CID:100003003	C0010481	compoundIndication	sider	1.0
CID:100002082	C0010709	compoundIndication	sider	1.0
CID:100014917	C0011432	compoundIndication	sider	1.0
CID:100002367	C0011633	compoundIndication	sider	1.0
CID:100004900	C0011633	compoundIndication	sider	1.0
CID:116132265	C0011633	compoundIndication	sider	1.0
CID:100222786	C0011633	compoundIndication	sider	1.0
CID:100006436	C0011633	compoundIndication	sider	1.0
CID:100001875	C0011633	compoundIndication	sider	1.0
CID:100002265	C0011633	compoundIndication	sider	1.0
CID:100004159	C0011633	compoundIndication	sider	1.0
CID:100005877	C0011633	compoundIndication	sider	1.0
CID:100003640	C0011633	compoundIndication	sider	1.0
CID:100004894	C0011633	compoundIndication	sider	1.0
CID:100005544	C0011633	compoundIndication	sider	1.0
CID:100004895	C0011633	compoundIndication	sider	1.0
CID:100004896	C0011633	compoundIndication	sider	1.0
CID:100003003	C0011633	compoundIndication	sider	1.0
CID:106435110	C0013884	compoundIndication	sider	1.0
CID:100003724	C0014474	compoundIndication	sider	1.0
CID:100055466	C0014474	compoundIndication	sider	1.0
CID:100002578	C0014474	compoundIndication	sider	1.0
CID:100002140	C0014474	compoundIndication	sider	1.0
CID:100003291	C0014553	compoundIndication	sider	1.0
CID:100003121	C0014553	compoundIndication	sider	1.0
CID:100005576	C0014553	compoundIndication	sider	1.0
CID:100006476	C0014553	compoundIndication	sider	1.0
CID:100002802	C0014553	compoundIndication	sider	1.0
CID:100002554	C0014553	compoundIndication	sider	1.0
CID:100001986	C0014553	compoundIndication	sider	1.0
CID:100003255	C0014752	compoundIndication	sider	1.0
CID:100002812	C0014752	compoundIndication	sider	1.0
CID:100004727	C0015230	compoundIndication	sider	1.0
CID:100000581	C0015230	compoundIndication	sider	1.0
CID:100005647	C0015230	compoundIndication	sider	1.0
CID:100193962	C0015230	compoundIndication	sider	1.0
CID:100004509	C0015230	compoundIndication	sider	1.0
CID:100060853	C0015230	compoundIndication	sider	1.0
CID:100002022	C0015230	compoundIndication	sider	1.0
CID:100002177	C0015230	compoundIndication	sider	1.0
CID:100003640	C0015230	compoundIndication	sider	1.0
CID:100004463	C0015230	compoundIndication	sider	1.0
CID:100000271	C0015230	compoundIndication	sider	1.0
CID:100005430	C0015230	compoundIndication	sider	1.0
CID:100000838	C0015230	compoundIndication	sider	1.0
CID:100002708	C0015230	compoundIndication	sider	1.0
CID:100121749	C0015230	compoundIndication	sider	1.0
CID:100216326	C0015230	compoundIndication	sider	1.0
CID:100003203	C0015230	compoundIndication	sider	1.0
CID:100002550	C0015230	compoundIndication	sider	1.0
CID:100004725	C0015230	compoundIndication	sider	1.0
CID:100005379	C0016436	compoundIndication	sider	1.0
CID:100003467	C0016436	compoundIndication	sider	1.0
CID:100004264	C0016436	compoundIndication	sider	1.0
CID:126275995	C0016436	compoundIndication	sider	1.0
CID:100003783	C0017086	compoundIndication	sider	1.0
CID:100004740	C0017086	compoundIndication	sider	1.0
CID:100003928	C0017086	compoundIndication	sider	1.0
CID:100000942	C0017086	compoundIndication	sider	1.0
CID:100003066	C0017086	compoundIndication	sider	1.0
CID:100005029	C0017152	compoundIndication	sider	1.0
CID:100003151	C0017152	compoundIndication	sider	1.0
CID:100004934	C0017152	compoundIndication	sider	1.0
CID:100004679	C0017152	compoundIndication	sider	1.0
CID:100003883	C0017152	compoundIndication	sider	1.0
CID:100004594	C0017152	compoundIndication	sider	1.0
CID:100000119	C0019158	compoundIndication	sider	1.0
CID:100005064	C0019158	compoundIndication	sider	1.0
CID:100005939	C0019158	compoundIndication	sider	1.0
CID:100003365	C0019158	compoundIndication	sider	1.0
CID:100000119	C0021051	compoundIndication	sider	1.0
CID:100001690	C0021051	compoundIndication	sider	1.0
CID:100002484	C0021051	compoundIndication	sider	1.0
CID:100003877	C0021051	compoundIndication	sider	1.0
CID:100131535	C0021051	compoundIndication	sider	1.0
CID:100001972	C0021051	compoundIndication	sider	1.0
CID:100005372	C0021051	compoundIndication	sider	1.0
CID:100001971	C0021051	compoundIndication	sider	1.0
CID:100005647	C0021051	compoundIndication	sider	1.0
CID:100054949	C0021051	compoundIndication	sider	1.0
CID:100002269	C0021051	compoundIndication	sider	1.0
CID:100003793	C0021051	compoundIndication	sider	1.0
CID:100054688	C0021051	compoundIndication	sider	1.0
CID:100057469	C0021051	compoundIndication	sider	1.0
CID:100004451	C0021051	compoundIndication	sider	1.0
CID:100003454	C0021051	compoundIndication	sider	1.0
CID:100002022	C0021051	compoundIndication	sider	1.0
CID:105361912	C0021051	compoundIndication	sider	1.0
CID:100002130	C0021051	compoundIndication	sider	1.0
CID:100002177	C0021051	compoundIndication	sider	1.0
CID:100002650	C0021051	compoundIndication	sider	1.0
CID:100104865	C0021051	compoundIndication	sider	1.0
CID:124950485	C0021051	compoundIndication	sider	1.0
CID:100003414	C0021051	compoundIndication	sider	1.0
CID:105277135	C0021051	compoundIndication	sider	1.0
CID:100003767	C0021051	compoundIndication	sider	1.0
CID:103055172	C0021051	compoundIndication	sider	1.0
CID:100004189	C0021051	compoundIndication	sider	1.0
CID:100002812	C0021051	compoundIndication	sider	1.0
CID:100147912	C0021051	compoundIndication	sider	1.0
CID:100003706	C0021051	compoundIndication	sider	1.0
CID:100005155	C0021051	compoundIndication	sider	1.0
CID:100041684	C0021051	compoundIndication	sider	1.0
CID:100003365	C0021051	compoundIndication	sider	1.0
CID:123668479	C0021051	compoundIndication	sider	1.0
CID:100213039	C0021051	compoundIndication	sider	1.0
CID:100003043	C0021051	compoundIndication	sider	1.0
CID:100003203	C0021051	compoundIndication	sider	1.0
CID:100004735	C0021051	compoundIndication	sider	1.0
CID:100005582	C0021051	compoundIndication	sider	1.0
CID:100005726	C0021051	compoundIndication	sider	1.0
CID:100004725	C0021051	compoundIndication	sider	1.0
CID:100003440	C0022660	compoundIndication	sider	1.0
CID:100000453	C0022660	compoundIndication	sider	1.0
CID:100004432	C0022660	compoundIndication	sider	1.0
CID:109812415	C0022660	compoundIndication	sider	1.0
CID:100004735	C0023281	compoundIndication	sider	1.0
CID:125880656	C0023860	compoundIndication	sider	1.0
CID:100003255	C0023860	compoundIndication	sider	1.0
CID:100062305	C0023860	compoundIndication	sider	1.0
CID:100002349	C0023860	compoundIndication	sider	1.0
CID:126275995	C0023860	compoundIndication	sider	1.0
CID:103081884	C0026769	compoundIndication	sider	1.0
CID:100002284	C0026769	compoundIndication	sider	1.0
CID:100004900	C0026769	compoundIndication	sider	1.0
CID:116132265	C0026769	compoundIndication	sider	1.0
CID:104479097	C0026769	compoundIndication	sider	1.0
CID:100002891	C0026769	compoundIndication	sider	1.0
CID:116129617	C0026769	compoundIndication	sider	1.0
CID:100006436	C0026769	compoundIndication	sider	1.0
CID:100065370	C0026769	compoundIndication	sider	1.0
CID:100001875	C0026769	compoundIndication	sider	1.0
CID:100004159	C0026769	compoundIndication	sider	1.0
CID:100005877	C0026769	compoundIndication	sider	1.0
CID:100002951	C0026769	compoundIndication	sider	1.0
CID:100003640	C0026769	compoundIndication	sider	1.0
CID:100004894	C0026769	compoundIndication	sider	1.0
CID:100002554	C0026769	compoundIndication	sider	1.0
CID:100004212	C0026769	compoundIndication	sider	1.0
CID:100005544	C0026769	compoundIndication	sider	1.0
CID:100004895	C0026769	compoundIndication	sider	1.0
CID:100107969	C0026769	compoundIndication	sider	1.0
CID:106453361	C0026769	compoundIndication	sider	1.0
CID:100004896	C0026769	compoundIndication	sider	1.0
CID:100005487	C0026769	compoundIndication	sider	1.0
CID:100001727	C0026769	compoundIndication	sider	1.0
CID:100003003	C0026769	compoundIndication	sider	1.0
CID:100002749	C0027339	compoundIndication	sider	1.0
CID:100001130	C0028866	compoundIndication	sider	1.0
CID:100004678	C0030446	compoundIndication	sider	1.0
CID:100004991	C0030446	compoundIndication	sider	1.0
CID:100000923	C0030446	compoundIndication	sider	1.0
CID:100002637	C0030455	compoundIndication	sider	1.0
CID:100002631	C0030455	compoundIndication	sider	1.0
CID:100004834	C0030455	compoundIndication	sider	1.0
CID:100002650	C0030455	compoundIndication	sider	1.0
CID:100002274	C0030455	compoundIndication	sider	1.0
CID:100004173	C0030455	compoundIndication	sider	1.0
CID:100032603	C0030455	compoundIndication	sider	1.0
CID:100062959	C0030455	compoundIndication	sider	1.0
CID:100000244	C0030757	compoundIndication	sider	1.0
CID:100002801	C0031212	compoundIndication	sider	1.0
CID:100004920	C0031212	compoundIndication	sider	1.0
CID:100003916	C0031315	compoundIndication	sider	1.0
CID:100000813	C0032827	compoundIndication	sider	1.0
CID:100004900	C0034068	compoundIndication	sider	1.0
CID:100222786	C0034068	compoundIndication	sider	1.0
CID:100001875	C0034068	compoundIndication	sider	1.0
CID:100004159	C0034068	compoundIndication	sider	1.0
CID:100005877	C0034068	compoundIndication	sider	1.0
CID:100003640	C0034068	compoundIndication	sider	1.0
CID:100004894	C0034068	compoundIndication	sider	1.0
CID:100003003	C0034068	compoundIndication	sider	1.0
CID:100002156	C0034069	compoundIndication	sider	1.0
CID:100004900	C0034069	compoundIndication	sider	1.0
CID:100444033	C0035457	compoundIndication	sider	1.0
CID:100062924	C0035457	compoundIndication	sider	1.0
CID:109854489	C0035457	compoundIndication	sider	1.0
CID:100002678	C0035457	compoundIndication	sider	1.0
CID:100060864	C0035457	compoundIndication	sider	1.0
CID:100004900	C0035457	compoundIndication	sider	1.0
CID:100222786	C0035457	compoundIndication	sider	1.0
CID:100004248	C0035457	compoundIndication	sider	1.0
CID:100003957	C0035457	compoundIndication	sider	1.0
CID:100006436	C0035457	compoundIndication	sider	1.0
CID:100001875	C0035457	compoundIndication	sider	1.0
CID:100004159	C0035457	compoundIndication	sider	1.0
CID:100005877	C0035457	compoundIndication	sider	1.0
CID:100124087	C0035457	compoundIndication	sider	1.0
CID:100003640	C0035457	compoundIndication	sider	1.0
CID:100004240	C0035457	compoundIndication	sider	1.0
CID:100003348	C0035457	compoundIndication	sider	1.0
CID:100004894	C0035457	compoundIndication	sider	1.0
CID:100005544	C0035457	compoundIndication	sider	1.0
CID:100004895	C0035457	compoundIndication	sider	1.0
CID:100004896	C0035457	compoundIndication	sider	1.0
CID:100002267	C0035457	compoundIndication	sider	1.0
CID:100002462	C0035457	compoundIndication	sider	1.0
CID:100002564	C0035457	compoundIndication	sider	1.0
CID:100003003	C0035457	compoundIndication	sider	1.0
CID:100005184	C0037036	compoundIndication	sider	1.0
CID:100003661	C0037036	compoundIndication	sider	1.0
CID:100000214	C0039685	compoundIndication	sider	1.0
CID:100004900	C0041327	compoundIndication	sider	1.0
CID:100222786	C0041327	compoundIndication	sider	1.0
CID:105381226	C0041327	compoundIndication	sider	1.0
CID:100006436	C0041327	compoundIndication	sider	1.0
CID:100001875	C0041327	compoundIndication	sider	1.0
CID:100004159	C0041327	compoundIndication	sider	1.0
CID:100005877	C0041327	compoundIndication	sider	1.0
CID:105361912	C0041327	compoundIndication	sider	1.0
CID:100003640	C0041327	compoundIndication	sider	1.0
CID:100004894	C0041327	compoundIndication	sider	1.0
CID:100005544	C0041327	compoundIndication	sider	1.0
CID:100004895	C0041327	compoundIndication	sider	1.0
CID:100656892	C0041327	compoundIndication	sider	1.0
CID:100004896	C0041327	compoundIndication	sider	1.0
CID:106323497	C0041327	compoundIndication	sider	1.0
CID:100003279	C0041327	compoundIndication	sider	1.0
CID:100003003	C0041327	compoundIndication	sider	1.0
CID:100003381	C0042164	compoundIndication	sider	1.0
CID:100006436	C0042164	compoundIndication	sider	1.0
CID:100004159	C0042164	compoundIndication	sider	1.0
CID:100002909	C0042164	compoundIndication	sider	1.0
CID:100003640	C0042164	compoundIndication	sider	1.0
CID:100004894	C0042164	compoundIndication	sider	1.0
CID:100005544	C0042164	compoundIndication	sider	1.0
CID:100004895	C0042164	compoundIndication	sider	1.0
CID:100107969	C0042164	compoundIndication	sider	1.0
CID:100004782	C0042164	compoundIndication	sider	1.0
CID:100004896	C0042164	compoundIndication	sider	1.0
CID:100123597	C0042164	compoundIndication	sider	1.0
CID:100003003	C0042164	compoundIndication	sider	1.0
CID:100000119	C0042721	compoundIndication	sider	1.0
CID:100003877	C0042721	compoundIndication	sider	1.0
CID:100001130	C0043121	compoundIndication	sider	1.0
CID:100004539	C0085696	compoundIndication	sider	1.0
CID:100004030	C0086227	compoundIndication	sider	1.0
CID:100005430	C0086227	compoundIndication	sider	1.0
CID:100027991	C0151702	compoundIndication	sider	1.0
CID:100003440	C0155919	compoundIndication	sider	1.0
CID:100002471	C0155919	compoundIndication	sider	1.0
CID:100004510	C0155919	compoundIndication	sider	1.0
CID:100004253	C0155919	compoundIndication	sider	1.0
CID:100005394	C0220650	compoundIndication	sider	1.0
CID:100006436	C0220650	compoundIndication	sider	1.0
CID:100004159	C0220650	compoundIndication	sider	1.0
CID:100003640	C0220650	compoundIndication	sider	1.0
CID:100005544	C0220650	compoundIndication	sider	1.0
CID:100004895	C0220650	compoundIndication	sider	1.0
CID:100003003	C0220650	compoundIndication	sider	1.0
CID:100000699	C0221392	compoundIndication	sider	1.0
CID:100027993	C0221392	compoundIndication	sider	1.0
CID:100003269	C0221392	compoundIndication	sider	1.0
CID:100000450	C0221392	compoundIndication	sider	1.0
CID:100002637	C0243001	compoundIndication	sider	1.0
CID:100002650	C0243001	compoundIndication	sider	1.0
CID:100004173	C0243001	compoundIndication	sider	1.0
CID:100032603	C0243001	compoundIndication	sider	1.0
CID:100166548	C0243001	compoundIndication	sider	1.0
CID:100002088	C0262431	compoundIndication	sider	1.0
CID:100002524	C0264009	compoundIndication	sider	1.0
CID:100050294	C0264413	compoundIndication	sider	1.0
CID:100000888	C0268733	compoundIndication	sider	1.0
CID:100093860	C0376545	compoundIndication	sider	1.0
CID:100002622	C0376545	compoundIndication	sider	1.0
CID:100102258	C0376545	compoundIndication	sider	1.0
CID:100147912	C0376545	compoundIndication	sider	1.0
CID:100005735	C0393761	compoundIndication	sider	1.0
CID:100002250	C0524620	compoundIndication	sider	1.0
CID:100005430	C0546999	compoundIndication	sider	1.0
CID:109812415	C0589110	compoundIndication	sider	1.0
CID:100001972	C0700345	compoundIndication	sider	1.0
CID:100003793	C0700345	compoundIndication	sider	1.0
CID:100005404	C0700345	compoundIndication	sider	1.0
CID:100004189	C0700345	compoundIndication	sider	1.0
CID:100002812	C0700345	compoundIndication	sider	1.0
CID:100047471	C0700345	compoundIndication	sider	1.0
CID:100003365	C0700345	compoundIndication	sider	1.0
CID:100002881	C0700345	compoundIndication	sider	1.0
CID:100004168	C0740411	compoundIndication	sider	1.0
CID:103081884	C0751967	compoundIndication	sider	1.0
CID:100004212	C0751967	compoundIndication	sider	1.0
CID:100107969	C0751967	compoundIndication	sider	1.0
CID:100000581	C1319018	compoundIndication	sider	1.0
CID:100050294	C1319018	compoundIndication	sider	1.0
CID:100001690	C2239176	compoundIndication	sider	1.0
CID:100216239	C2239176	compoundIndication	sider	1.0
CID:100004212	C2239176	compoundIndication	sider	1.0
CID:100003310	C2239176	compoundIndication	sider	1.0
CID:100197281	C2239176	compoundIndication	sider	1.0
CID:100004927	C2607914	compoundIndication	sider	1.0
CID:100062924	C2607914	compoundIndication	sider	1.0
CID:109854489	C2607914	compoundIndication	sider	1.0
CID:100002725	C2607914	compoundIndication	sider	1.0
CID:100002678	C2607914	compoundIndication	sider	1.0
CID:100004248	C2607914	compoundIndication	sider	1.0
CID:100002781	C2607914	compoundIndication	sider	1.0
CID:100006436	C2607914	compoundIndication	sider	1.0
CID:100003399	C2607914	compoundIndication	sider	1.0
CID:100124087	C2607914	compoundIndication	sider	1.0
CID:100123620	C2607914	compoundIndication	sider	1.0
CID:100003348	C2607914	compoundIndication	sider	1.0
CID:100005544	C2607914	compoundIndication	sider	1.0
CID:100002913	C2607914	compoundIndication	sider	1.0
CID:100002267	C2607914	compoundIndication	sider	1.0
CID:100002756	C2741638	compoundIndication	sider	1.0
CID:100006503	C0001127	compoundIndication	sider	1.0
CID:100004609	C0001824	compoundIndication	sider	1.0
CID:100003325	C0001824	compoundIndication	sider	1.0
CID:100004913	C0001824	compoundIndication	sider	1.0
CID:100002818	C0001824	compoundIndication	sider	1.0
CID:100005472	C0001824	compoundIndication	sider	1.0
CID:100004114	C0001916	compoundIndication	sider	1.0
CID:100057469	C0004779	compoundIndication	sider	1.0
CID:100004894	C0006272	compoundIndication	sider	1.0
CID:100004895	C0006272	compoundIndication	sider	1.0
CID:100004896	C0006272	compoundIndication	sider	1.0
CID:100004043	C0009773	compoundIndication	sider	1.0
CID:100044564	C0009773	compoundIndication	sider	1.0
CID:100044563	C0009773	compoundIndication	sider	1.0
CID:100002881	C0009773	compoundIndication	sider	1.0
CID:100002764	C0010043	compoundIndication	sider	1.0
CID:100002367	C0010043	compoundIndication	sider	1.0
CID:100004900	C0010043	compoundIndication	sider	1.0
CID:100222786	C0010043	compoundIndication	sider	1.0
CID:100001875	C0010043	compoundIndication	sider	1.0
CID:100004159	C0010043	compoundIndication	sider	1.0
CID:100005877	C0010043	compoundIndication	sider	1.0
CID:100003640	C0010043	compoundIndication	sider	1.0
CID:100004583	C0010043	compoundIndication	sider	1.0
CID:100003467	C0010043	compoundIndication	sider	1.0
CID:100004894	C0010043	compoundIndication	sider	1.0
CID:100005320	C0010043	compoundIndication	sider	1.0
CID:100003003	C0010043	compoundIndication	sider	1.0
CID:100000232	C0010276	compoundIndication	sider	1.0
CID:100003724	C0010276	compoundIndication	sider	1.0
CID:100002140	C0010276	compoundIndication	sider	1.0
CID:100005396	C0013080	compoundIndication	sider	1.0
CID:100003467	C0013568	compoundIndication	sider	1.0
CID:100004264	C0013568	compoundIndication	sider	1.0
CID:100004920	C0015300	compoundIndication	sider	1.0
CID:100002367	C0015397	compoundIndication	sider	1.0
CID:100004894	C0015397	compoundIndication	sider	1.0
CID:100004920	C0015397	compoundIndication	sider	1.0
CID:100003279	C0015397	compoundIndication	sider	1.0
CID:100003003	C0015397	compoundIndication	sider	1.0
CID:100016230	C0018794	compoundIndication	sider	1.0
CID:100219024	C0018794	compoundIndication	sider	1.0
CID:100003779	C0018794	compoundIndication	sider	1.0
CID:100000838	C0018794	compoundIndication	sider	1.0
CID:100003661	C0018794	compoundIndication	sider	1.0
CID:100171558	C0018794	compoundIndication	sider	1.0
CID:100003157	C0018801	compoundIndication	sider	1.0
CID:100060830	C0018801	compoundIndication	sider	1.0
CID:100003440	C0018801	compoundIndication	sider	1.0
CID:100004411	C0018801	compoundIndication	sider	1.0
CID:100005525	C0018801	compoundIndication	sider	1.0
CID:100060860	C0018801	compoundIndication	sider	1.0
CID:100123611	C0018801	compoundIndication	sider	1.0
CID:100001130	C0018801	compoundIndication	sider	1.0
CID:100002751	C0018801	compoundIndication	sider	1.0
CID:100004763	C0018801	compoundIndication	sider	1.0
CID:100003222	C0018801	compoundIndication	sider	1.0
CID:100060183	C0018801	compoundIndication	sider	1.0
CID:100002585	C0018801	compoundIndication	sider	1.0
CID:100003749	C0018801	compoundIndication	sider	1.0
CID:100004673	C0018801	compoundIndication	sider	1.0
CID:100062956	C0018801	compoundIndication	sider	1.0
CID:100036811	C0018801	compoundIndication	sider	1.0
CID:100065999	C0018801	compoundIndication	sider	1.0
CID:100107994	C0018801	compoundIndication	sider	1.0
CID:100000681	C0018801	compoundIndication	sider	1.0
CID:100003062	C0018801	compoundIndication	sider	1.0
CID:100002540	C0018801	compoundIndication	sider	1.0
CID:100002541	C0018801	compoundIndication	sider	1.0
CID:100208898	C0018801	compoundIndication	sider	1.0
CID:100216237	C0018801	compoundIndication	sider	1.0
CID:100045469	C0018801	compoundIndication	sider	1.0
CID:100128549	C0018801	compoundIndication	sider	1.0
CID:100002249	C0018801	compoundIndication	sider	1.0
CID:100002520	C0018801	compoundIndication	sider	1.0
CID:100003961	C0018801	compoundIndication	sider	1.0
CID:100003333	C0018801	compoundIndication	sider	1.0
CID:100004829	C0018801	compoundIndication	sider	1.0
CID:100004946	C0018801	compoundIndication	sider	1.0
CID:100150310	C0018801	compoundIndication	sider	1.0
CID:105464096	C0018801	compoundIndication	sider	1.0
CID:100003114	C0018801	compoundIndication	sider	1.0
CID:100003419	C0018801	compoundIndication	sider	1.0
CID:100005650	C0018801	compoundIndication	sider	1.0
CID:100060184	C0018801	compoundIndication	sider	1.0
CID:100158781	C0018801	compoundIndication	sider	1.0
CID:100056959	C0018801	compoundIndication	sider	1.0
CID:109825286	C0018801	compoundIndication	sider	1.0
CID:110182969	C0018801	compoundIndication	sider	1.0
CID:100003937	C0018801	compoundIndication	sider	1.0
CID:122834577	C0018801	compoundIndication	sider	1.0
CID:100443379	C0018801	compoundIndication	sider	1.0
CID:100002162	C0018801	compoundIndication	sider	1.0
CID:100004171	C0018801	compoundIndication	sider	1.0
CID:100004485	C0018801	compoundIndication	sider	1.0
CID:100216209	C0018801	compoundIndication	sider	1.0
CID:100002405	C0018801	compoundIndication	sider	1.0
CID:100002550	C0018801	compoundIndication	sider	1.0
CID:100005038	C0018801	compoundIndication	sider	1.0
CID:100005267	C0018801	compoundIndication	sider	1.0
CID:100027991	C0018924	compoundIndication	sider	1.0
CID:100000119	C0019159	compoundIndication	sider	1.0
CID:116131310	C0019159	compoundIndication	sider	1.0
CID:100001972	C0019655	compoundIndication	sider	1.0
CID:100003793	C0019655	compoundIndication	sider	1.0
CID:100003454	C0019655	compoundIndication	sider	1.0
CID:100003823	C0019655	compoundIndication	sider	1.0
