:START_ID	:END_ID	:TYPE	source	score
ENSG00000221909	GO:0005515	geneMolecularFunction	ensembl	1.0
ENSG00000072756	GO:0003723	geneMolecularFunction	ensembl	1.0
ENSG00000162994	GO:0005515	geneMolecularFunction	ensembl	1.0
ENSG00000136560	GO:0004843	geneMolecularFunction	ensembl	1.0
ENSG00000135148	GO:0046872	geneMolecularFunction	ensembl	1.0
ENSG00000182934	GO:0005525	geneMolecularFunction	ensembl	1.0
ENSG00000170035	GO:0016740	geneMolecularFunction	ensembl	1.0
ENSG00000008517	GO:0005515	geneMolecularFunction	ensembl	1.0
ENSG00000137841	GO:0016787	geneMolecularFunction	ensembl	1.0
ENSG00000160791	GO:0004435	geneMolecularFunction	ensembl	1.0
ENSG00000050438	GO:0005452	geneMolecularFunction	ensembl	1.0
ENSG00000180776	GO:0016409	geneMolecularFunction	ensembl	1.0
ENSG00000086758	GO:0004842	geneMolecularFunction	ensembl	1.0
ENSG00000168517	GO:0004861	geneMolecularFunction	ensembl	1.0
ENSG00000119383	GO:0016853	geneMolecularFunction	ensembl	1.0
ENSG00000119383	GO:0005102	geneMolecularFunction	ensembl	1.0
ENSG00000185345	GO:0046872	geneMolecularFunction	ensembl	1.0
ENSG00000115556	GO:0004871	geneMolecularFunction	ensembl	1.0
ENSG00000278322	GO:0071617	geneMolecularFunction	ensembl	1.0
ENSG00000118689	GO:0003677	geneMolecularFunction	ensembl	1.0
ENSG00000275211	GO:0016712	geneMolecularFunction	ensembl	1.0
ENSG00000186866	GO:0016740	geneMolecularFunction	ensembl	1.0
ENSG00000165238	GO:0016740	geneMolecularFunction	ensembl	1.0
ENSG00000078596	GO:0005515	geneMolecularFunction	ensembl	1.0
ENSG00000135773	GO:0016787	geneMolecularFunction	ensembl	1.0
ENSG00000135773	GO:0008234	geneMolecularFunction	ensembl	1.0
ENSG00000135837	GO:0008017	geneMolecularFunction	ensembl	1.0
ENSG00000259753	GO:0004872	geneMolecularFunction	ensembl	1.0
ENSG00000156711	GO:0000166	geneMolecularFunction	ensembl	1.0
ENSG00000161914	GO:0003677	geneMolecularFunction	ensembl	1.0
ENSG00000072042	GO:0052650	geneMolecularFunction	ensembl	1.0
ENSG00000187815	GO:0003676	geneMolecularFunction	ensembl	1.0
ENSG00000182613	GO:0004871	geneMolecularFunction	ensembl	1.0
ENSG00000099250	GO:0019838	geneMolecularFunction	ensembl	1.0
ENSG00000196169	GO:0003777	geneMolecularFunction	ensembl	1.0
ENSG00000196352	GO:0005515	geneMolecularFunction	ensembl	1.0
ENSG00000101084	GO:0003674	geneMolecularFunction	ensembl	1.0
ENSG00000165588	GO:0003677	geneMolecularFunction	ensembl	1.0
ENSG00000002746	GO:0061630	geneMolecularFunction	ensembl	1.0
ENSG00000130119	GO:0003723	geneMolecularFunction	ensembl	1.0
ENSG00000140474	GO:0005515	geneMolecularFunction	ensembl	1.0
ENSG00000196689	GO:0005262	geneMolecularFunction	ensembl	1.0
ENSG00000196689	GO:0005524	geneMolecularFunction	ensembl	1.0
ENSG00000196689	GO:0005261	geneMolecularFunction	ensembl	1.0
ENSG00000167657	GO:0000166	geneMolecularFunction	ensembl	1.0
ENSG00000276618	GO:0005524	geneMolecularFunction	ensembl	1.0
ENSG00000276618	GO:0000166	geneMolecularFunction	ensembl	1.0
ENSG00000135930	GO:0003743	geneMolecularFunction	ensembl	1.0
