:START_ID	:END_ID	:TYPE	source	score
ENSG00000165457	CALOHA:TS-0394	geneTissue	nextprot	1.0
ENSG00000165457	CALOHA:TS-0799	geneTissue	nextprot	1.0
ENSG00000142192	CALOHA:TS-0942	geneTissue	nextprot	1.0
ENSG00000090402	CALOHA:TS-1275	geneTissue	nextprot	1.0
ENSG00000132382	CALOHA:TS-1268	geneTissue	nextprot	1.0
ENSG00000132382	CALOHA:TS-1272	geneTissue	nextprot	1.0
ENSG00000116809	CALOHA:TS-0862	geneTissue	nextprot	1.0
ENSG00000132646	CALOHA:TS-2083	geneTissue	nextprot	1.0
ENSG00000132646	CALOHA:TS-0943	geneTissue	nextprot	1.0
ENSG00000132646	CALOHA:TS-0745	geneTissue	nextprot	1.0
ENSG00000005381	CALOHA:TS-2109	geneTissue	nextprot	1.0
ENSG00000171791	CALOHA:TS-2374	geneTissue	nextprot	1.0
ENSG00000182326	CALOHA:TS-0579	geneTissue	nextprot	1.0
ENSG00000182326	CALOHA:TS-0700	geneTissue	nextprot	1.0
ENSG00000064300	CALOHA:TS-2373	geneTissue	nextprot	1.0
ENSG00000126934	CALOHA:TS-0732	geneTissue	nextprot	1.0
ENSG00000126934	CALOHA:TS-0919	geneTissue	nextprot	1.0
ENSG00000126934	CALOHA:TS-0091	geneTissue	nextprot	1.0
ENSG00000126934	CALOHA:TS-1070	geneTissue	nextprot	1.0
ENSG00000196482	CALOHA:TS-0745	geneTissue	nextprot	1.0
ENSG00000138668	CALOHA:TS-0862	geneTissue	nextprot	1.0
ENSG00000138668	CALOHA:TS-1053	geneTissue	nextprot	1.0
ENSG00000088256	CALOHA:TS-0158	geneTissue	nextprot	1.0
ENSG00000088256	CALOHA:TS-1030	geneTissue	nextprot	1.0
ENSG00000130203	CALOHA:TS-0394	geneTissue	nextprot	1.0
ENSG00000130203	CALOHA:TS-0730	geneTissue	nextprot	1.0
ENSG00000130203	CALOHA:TS-0980	geneTissue	nextprot	1.0
ENSG00000157764	CALOHA:TS-1262	geneTissue	nextprot	1.0
ENSG00000169710	CALOHA:TS-2377	geneTissue	nextprot	1.0
ENSG00000160789	CALOHA:TS-0394	geneTissue	nextprot	1.0
ENSG00000160789	CALOHA:TS-1260	geneTissue	nextprot	1.0
ENSG00000160789	CALOHA:TS-1288	geneTissue	nextprot	1.0
ENSG00000100429	CALOHA:TS-1262	geneTissue	nextprot	1.0
ENSG00000104267	CALOHA:TS-0087	geneTissue	nextprot	1.0
ENSG00000064601	CALOHA:TS-1267	geneTissue	nextprot	1.0
ENSG00000064601	CALOHA:TS-1070	geneTissue	nextprot	1.0
ENSG00000129167	CALOHA:TS-1281	geneTissue	nextprot	1.0
ENSG00000160752	CALOHA:TS-0828	geneTissue	nextprot	1.0
ENSG00000160752	CALOHA:TS-1030	geneTissue	nextprot	1.0
ENSG00000025434	CALOHA:TS-0013	geneTissue	nextprot	1.0
ENSG00000178035	CALOHA:TS-0087	geneTissue	nextprot	1.0
ENSG00000178035	CALOHA:TS-0134	geneTissue	nextprot	1.0
ENSG00000178035	CALOHA:TS-0980	geneTissue	nextprot	1.0
ENSG00000100219	CALOHA:TS-0745	geneTissue	nextprot	1.0
ENSG00000206203	CALOHA:TS-1030	geneTissue	nextprot	1.0
ENSG00000080824	CALOHA:TS-1047	geneTissue	nextprot	1.0
ENSG00000080824	CALOHA:TS-0214	geneTissue	nextprot	1.0
ENSG00000080824	CALOHA:TS-0579	geneTissue	nextprot	1.0
ENSG00000184905	CALOHA:TS-1047	geneTissue	nextprot	1.0
ENSG00000089597	CALOHA:TS-0276	geneTissue	nextprot	1.0
ENSG00000089597	CALOHA:TS-0828	geneTissue	nextprot	1.0
ENSG00000104936	CALOHA:TS-0016	geneTissue	nextprot	1.0
ENSG00000172531	CALOHA:TS-0285	geneTissue	nextprot	1.0
ENSG00000172531	CALOHA:TS-1262	geneTissue	nextprot	1.0
ENSG00000163406	CALOHA:TS-0134	geneTissue	nextprot	1.0
ENSG00000123815	CALOHA:TS-1268	geneTissue	nextprot	1.0
ENSG00000135679	CALOHA:TS-2378	geneTissue	nextprot	1.0
ENSG00000135679	CALOHA:TS-1246	geneTissue	nextprot	1.0
ENSG00000160211	CALOHA:TS-1030	geneTissue	nextprot	1.0
ENSG00000244474	CALOHA:TS-0564	geneTissue	nextprot	1.0
ENSG00000064393	CALOHA:TS-1273	geneTissue	nextprot	1.0
ENSG00000064393	CALOHA:TS-2398	geneTissue	nextprot	1.0
ENSG00000213614	CALOHA:TS-0579	geneTissue	nextprot	1.0
ENSG00000213614	CALOHA:TS-0016	geneTissue	nextprot	1.0
ENSG00000086475	CALOHA:TS-0745	geneTissue	nextprot	1.0
ENSG00000171552	CALOHA:TS-2083	geneTissue	nextprot	1.0
ENSG00000129315	CALOHA:TS-1284	geneTissue	nextprot	1.0
