:START_ID	:END_ID	:TYPE	source	score
GO:0019888	GO:0019208	goInstanceOf	go	1.0
GO:0016749	GO:0016748	goInstanceOf	go	1.0
GO:0016614	GO:0016491	goInstanceOf	go	1.0
GO:0016879	GO:0016874	goInstanceOf	go	1.0
GO:0008378	GO:0016758	goInstanceOf	go	1.0
GO:0008233	GO:0140096	goInstanceOf	go	1.0
GO:0008757	GO:0008168	goInstanceOf	go	1.0
GO:0008238	GO:0070011	goInstanceOf	go	1.0
GO:0004611	GO:0016831	goInstanceOf	go	1.0
GO:0004738	GO:0016903	goInstanceOf	go	1.0
GO:0004379	GO:0016410	goInstanceOf	go	1.0
GO:0016802	GO:0016801	goInstanceOf	go	1.0
GO:0004672	GO:0140096	goInstanceOf	go	1.0
GO:0004707	GO:0004702	goInstanceOf	go	1.0
GO:0004001	GO:0019206	goInstanceOf	go	1.0
GO:0004016	GO:0016849	goInstanceOf	go	1.0
GO:0004062	GO:0008146	goInstanceOf	go	1.0
GO:0004082	GO:0016868	goInstanceOf	go	1.0
GO:0005353	GO:0015149	goInstanceOf	go	1.0
GO:0016634	GO:0016627	goInstanceOf	go	1.0
GO:0004115	GO:0004114	goInstanceOf	go	1.0
GO:0019210	GO:0019207	goInstanceOf	go	1.0
GO:0018708	GO:0008757	goInstanceOf	go	1.0
GO:0004329	GO:0016879	goInstanceOf	go	1.0
GO:0004334	GO:0016823	goInstanceOf	go	1.0
GO:0004375	GO:0016642	goInstanceOf	go	1.0
GO:0016405	GO:0016877	goInstanceOf	go	1.0
GO:0005026	GO:0005024	goInstanceOf	go	1.0
GO:0030228	GO:0038024	goInstanceOf	go	1.0
GO:0005087	GO:0008536	goInstanceOf	go	1.0
GO:0004465	GO:0004806	goInstanceOf	go	1.0
GO:0004490	GO:0016836	goInstanceOf	go	1.0
GO:0003841	GO:0042171	goInstanceOf	go	1.0
GO:0003865	GO:0033765	goInstanceOf	go	1.0
GO:0004583	GO:0046527	goInstanceOf	go	1.0
GO:0003938	GO:0016616	goInstanceOf	go	1.0
GO:0004607	GO:0008374	goInstanceOf	go	1.0
GO:0004619	GO:0016868	goInstanceOf	go	1.0
GO:0005326	GO:0005215	goInstanceOf	go	1.0
GO:0005295	GO:0005283	goInstanceOf	go	1.0
GO:0015196	GO:0008324	goInstanceOf	go	1.0
GO:0019784	GO:0019783	goInstanceOf	go	1.0
GO:0015185	GO:0015171	goInstanceOf	go	1.0
GO:0015185	GO:0008028	goInstanceOf	go	1.0
GO:0005391	GO:0008556	goInstanceOf	go	1.0
GO:0004826	GO:0004812	goInstanceOf	go	1.0
GO:0015067	GO:0016769	goInstanceOf	go	1.0
GO:0015081	GO:0015077	goInstanceOf	go	1.0
GO:0016672	GO:0016667	goInstanceOf	go	1.0
GO:0030267	GO:0016616	goInstanceOf	go	1.0
GO:0015234	GO:0090482	goInstanceOf	go	1.0
GO:0008504	GO:0022804	goInstanceOf	go	1.0
GO:0008119	GO:0008757	goInstanceOf	go	1.0
GO:0015355	GO:0008028	goInstanceOf	go	1.0
GO:0017153	GO:0005310	goInstanceOf	go	1.0
GO:0008296	GO:0008408	goInstanceOf	go	1.0
GO:0008301	GO:0003677	goInstanceOf	go	1.0
GO:0008396	GO:0008395	goInstanceOf	go	1.0
GO:0016206	GO:0008171	goInstanceOf	go	1.0
GO:0008479	GO:0140101	goInstanceOf	go	1.0
GO:0008481	GO:0001727	goInstanceOf	go	1.0
GO:0000703	GO:0000702	goInstanceOf	go	1.0
GO:0046525	GO:0140103	goInstanceOf	go	1.0
GO:0035870	GO:0047429	goInstanceOf	go	1.0
GO:0004096	GO:0004601	goInstanceOf	go	1.0
GO:0042623	GO:0016887	goInstanceOf	go	1.0
