:START_ID	:END_ID	:TYPE	source	score
GO:0008597	GO:0004723	goRegulates	go	1.0
GO:0060590	GO:0016887	goRegulates	go	1.0
GO:0019220	GO:0006796	goRegulates	go	1.0
GO:0007088	GO:0140014	goRegulates	go	1.0
GO:0045616	GO:0030216	goRegulates	go	1.0
GO:0043467	GO:0006091	goRegulates	go	1.0
GO:1902806	GO:0044843	goRegulates	go	1.0
GO:0010510	GO:0006086	goRegulates	go	1.0
GO:0065009	GO:0003674	goRegulates	go	1.0
GO:0002694	GO:0045321	goRegulates	go	1.0
GO:0032489	GO:0032488	goRegulates	go	1.0
GO:0043666	GO:0004721	goRegulates	go	1.0
GO:0032012	GO:0032011	goRegulates	go	1.0
GO:1901987	GO:0044770	goRegulates	go	1.0
GO:0060338	GO:0060337	goRegulates	go	1.0
GO:1903706	GO:0030097	goRegulates	go	1.0
GO:0061013	GO:0006402	goRegulates	go	1.0
GO:0045761	GO:0004016	goRegulates	go	1.0
GO:0043067	GO:0012501	goRegulates	go	1.0
GO:0050865	GO:0001775	goRegulates	go	1.0
GO:0032879	GO:0051179	goRegulates	go	1.0
GO:0051960	GO:0007399	goRegulates	go	1.0
GO:1901184	GO:0038127	goRegulates	go	1.0
GO:0034765	GO:0034220	goRegulates	go	1.0
GO:0010646	GO:0007154	goRegulates	go	1.0
GO:1904029	GO:0097472	goRegulates	go	1.0
GO:2000765	GO:0002181	goRegulates	go	1.0
GO:0061134	GO:0008233	goRegulates	go	1.0
GO:0061135	GO:0004175	goRegulates	go	1.0
GO:0045859	GO:0004672	goRegulates	go	1.0
GO:0008593	GO:0007219	goRegulates	go	1.0
GO:0046883	GO:0046879	goRegulates	go	1.0
GO:0046890	GO:0008610	goRegulates	go	1.0
GO:0051196	GO:0006732	goRegulates	go	1.0
GO:0043269	GO:0006811	goRegulates	go	1.0
GO:0050855	GO:0050853	goRegulates	go	1.0
GO:0051171	GO:0006807	goRegulates	go	1.0
GO:0031657	GO:0000082	goRegulates	go	1.0
GO:0070201	GO:0045184	goRegulates	go	1.0
GO:2000142	GO:0006352	goRegulates	go	1.0
GO:0045619	GO:0030098	goRegulates	go	1.0
GO:0035023	GO:0007266	goRegulates	go	1.0
GO:0051239	GO:0032501	goRegulates	go	1.0
GO:0050810	GO:0006694	goRegulates	go	1.0
GO:0043549	GO:0016301	goRegulates	go	1.0
GO:0010564	GO:0022402	goRegulates	go	1.0
GO:0002682	GO:0002376	goRegulates	go	1.0
GO:0032844	GO:0042592	goRegulates	go	1.0
GO:0010506	GO:0006914	goRegulates	go	1.0
GO:1902099	GO:0044784	goRegulates	go	1.0
GO:0043949	GO:0019933	goRegulates	go	1.0
GO:0010803	GO:0033209	goRegulates	go	1.0
GO:2000045	GO:0000082	goRegulates	go	1.0
GO:0006355	GO:0006351	goRegulates	go	1.0
GO:0042058	GO:0007173	goRegulates	go	1.0
GO:0006110	GO:0006096	goRegulates	go	1.0
GO:1902531	GO:0035556	goRegulates	go	1.0
GO:1900034	GO:0034605	goRegulates	go	1.0
GO:0030814	GO:0046058	goRegulates	go	1.0
GO:0051056	GO:0007264	goRegulates	go	1.0
GO:1900371	GO:0006164	goRegulates	go	1.0
GO:0031326	GO:0044249	goRegulates	go	1.0
GO:0051386	GO:0048011	goRegulates	go	1.0
GO:0032015	GO:0031291	goRegulates	go	1.0
GO:1903037	GO:0007159	goRegulates	go	1.0
GO:0090175	GO:0001736	goRegulates	go	1.0
GO:0061041	GO:0042060	goRegulates	go	1.0
GO:0019207	GO:0016301	goRegulates	go	1.0
GO:0046825	GO:0006611	goRegulates	go	1.0
GO:0042509	GO:0007260	goRegulates	go	1.0
GO:0046425	GO:0007259	goRegulates	go	1.0
GO:0051004	GO:0004465	goRegulates	go	1.0
GO:0002673	GO:0002526	goRegulates	go	1.0
GO:0022407	GO:0098609	goRegulates	go	1.0
GO:0010389	GO:0000086	goRegulates	go	1.0
GO:0014066	GO:0014065	goRegulates	go	1.0
GO:1903311	GO:0016071	goRegulates	go	1.0
GO:0034762	GO:0055085	goRegulates	go	1.0
GO:0044087	GO:0044085	goRegulates	go	1.0
GO:0070613	GO:0016485	goRegulates	go	1.0
GO:0090087	GO:0015833	goRegulates	go	1.0
GO:2000027	GO:0009887	goRegulates	go	1.0
GO:0009889	GO:0009058	goRegulates	go	1.0
GO:0006140	GO:0009117	goRegulates	go	1.0
GO:0006417	GO:0006412	goRegulates	go	1.0
GO:0006521	GO:0006520	goRegulates	go	1.0
GO:0045540	GO:0006695	goRegulates	go	1.0
GO:0046782	GO:0019083	goRegulates	go	1.0
GO:2001267	GO:0097199	goRegulates	go	1.0
GO:0030817	GO:0006171	goRegulates	go	1.0
GO:0035304	GO:0006470	goRegulates	go	1.0
GO:0043087	GO:0003924	goRegulates	go	1.0
GO:1902947	GO:0050321	goRegulates	go	1.0
GO:0080134	GO:0006950	goRegulates	go	1.0
GO:1903827	GO:0034613	goRegulates	go	1.0
GO:0017081	GO:0005254	goRegulates	go	1.0
GO:0045589	GO:0045066	goRegulates	go	1.0
GO:0045652	GO:0030219	goRegulates	go	1.0
GO:0051223	GO:0015031	goRegulates	go	1.0
GO:0050812	GO:0071616	goRegulates	go	1.0
GO:0048583	GO:0050896	goRegulates	go	1.0
GO:0043470	GO:0016052	goRegulates	go	1.0
GO:0043487	GO:0006401	goRegulates	go	1.0
GO:0022604	GO:0000902	goRegulates	go	1.0
GO:0080090	GO:0044238	goRegulates	go	1.0
GO:1905330	GO:0002009	goRegulates	go	1.0
GO:2000145	GO:0048870	goRegulates	go	1.0
GO:0009966	GO:0007165	goRegulates	go	1.0
GO:0045604	GO:0009913	goRegulates	go	1.0
GO:0051174	GO:0006793	goRegulates	go	1.0
GO:0050999	GO:0004517	goRegulates	go	1.0
GO:0051147	GO:0042692	goRegulates	go	1.0
GO:0035303	GO:0016311	goRegulates	go	1.0
GO:0033045	GO:0000819	goRegulates	go	1.0
GO:0051983	GO:0007059	goRegulates	go	1.0
GO:1900739	GO:0001844	goRegulates	go	1.0
GO:0010675	GO:0044262	goRegulates	go	1.0
GO:0010941	GO:0008219	goRegulates	go	1.0
GO:1903578	GO:0046034	goRegulates	go	1.0
GO:1905818	GO:0051304	goRegulates	go	1.0
GO:0061097	GO:0004713	goRegulates	go	1.0
GO:0019216	GO:0006629	goRegulates	go	1.0
GO:0006109	GO:0005975	goRegulates	go	1.0
GO:0030193	GO:0007596	goRegulates	go	1.0
GO:0045580	GO:0030217	goRegulates	go	1.0
GO:0051246	GO:0019538	goRegulates	go	1.0
GO:0050790	GO:0003824	goRegulates	go	1.0
GO:0051049	GO:0006810	goRegulates	go	1.0
GO:0032872	GO:0051403	goRegulates	go	1.0
GO:1901222	GO:0038061	goRegulates	go	1.0
GO:0080135	GO:0033554	goRegulates	go	1.0
GO:0060968	GO:0016458	goRegulates	go	1.0
GO:1904526	GO:0008017	goRegulates	go	1.0
GO:0045682	GO:0008544	goRegulates	go	1.0
GO:0035020	GO:0016601	goRegulates	go	1.0
GO:0051282	GO:0051208	goRegulates	go	1.0
GO:0050792	GO:0016032	goRegulates	go	1.0
GO:1900542	GO:0006163	goRegulates	go	1.0
GO:0031323	GO:0044237	goRegulates	go	1.0
GO:0032268	GO:0044267	goRegulates	go	1.0
GO:0033044	GO:0051276	goRegulates	go	1.0
GO:0032485	GO:0032484	goRegulates	go	1.0
GO:0052547	GO:0008233	goRegulates	go	1.0
GO:0060191	GO:0016298	goRegulates	go	1.0
GO:0034248	GO:0043603	goRegulates	go	1.0
GO:0060255	GO:0043170	goRegulates	go	1.0
