id:ID	:LABEL	label
GO:0008033	BiologicalProcess	tRNA processing
GO:0006611	BiologicalProcess	protein export from nucleus
GO:0046835	BiologicalProcess	carbohydrate phosphorylation
GO:0009566	BiologicalProcess	fertilization
GO:0009581	BiologicalProcess	detection of external stimulus
GO:0042157	BiologicalProcess	lipoprotein metabolic process
GO:0007010	BiologicalProcess	cytoskeleton organization
GO:0006996	BiologicalProcess	organelle organization
GO:0040029	BiologicalProcess	regulation of gene expression, epigenetic
GO:0006959	BiologicalProcess	humoral immune response
GO:0019438	BiologicalProcess	aromatic compound biosynthetic process
GO:0019748	BiologicalProcess	secondary metabolic process
GO:0017144	BiologicalProcess	drug metabolic process
GO:0009804	BiologicalProcess	coumarin metabolic process
GO:0008643	BiologicalProcess	carbohydrate transport
GO:0019050	BiologicalProcess	suppression by virus of host apoptotic process
GO:0019065	BiologicalProcess	receptor-mediated endocytosis of virus by host cell
GO:0006260	BiologicalProcess	DNA replication
GO:0008015	BiologicalProcess	blood circulation
GO:0042364	BiologicalProcess	water-soluble vitamin biosynthetic process
GO:0006040	BiologicalProcess	amino sugar metabolic process
GO:0019695	BiologicalProcess	choline metabolic process
GO:0046434	BiologicalProcess	organophosphate catabolic process
GO:0046496	BiologicalProcess	nicotinamide nucleotide metabolic process
GO:0019674	BiologicalProcess	NAD metabolic process
GO:0001516	BiologicalProcess	prostaglandin biosynthetic process
GO:0006301	BiologicalProcess	postreplication repair
GO:0006085	BiologicalProcess	acetyl-CoA biosynthetic process
GO:0006662	BiologicalProcess	glycerol ether metabolic process
GO:0009093	BiologicalProcess	cysteine catabolic process
GO:0006063	BiologicalProcess	uronic acid metabolic process
GO:0042403	BiologicalProcess	thyroid hormone metabolic process
GO:0007006	BiologicalProcess	mitochondrial membrane organization
GO:0019640	BiologicalProcess	glucuronate catabolic process to xylulose 5-phosphate
GO:0006099	BiologicalProcess	tricarboxylic acid cycle
GO:0009150	BiologicalProcess	purine ribonucleotide metabolic process
GO:0009201	BiologicalProcess	ribonucleoside triphosphate biosynthetic process
GO:0006284	BiologicalProcess	base-excision repair
GO:0006418	BiologicalProcess	tRNA aminoacylation for protein translation
GO:0000090	BiologicalProcess	mitotic anaphase
GO:0008214	BiologicalProcess	protein dealkylation
GO:0046488	BiologicalProcess	phosphatidylinositol metabolic process
GO:0030214	BiologicalProcess	hyaluronan catabolic process
GO:0016072	BiologicalProcess	rRNA metabolic process
GO:0006817	BiologicalProcess	phosphate ion transport
GO:0006837	BiologicalProcess	serotonin transport
GO:0006888	BiologicalProcess	ER to Golgi vesicle-mediated transport
GO:0045930	BiologicalProcess	negative regulation of mitotic cell cycle
GO:0000289	BiologicalProcess	nuclear-transcribed mRNA poly(A) tail shortening
GO:0000291	BiologicalProcess	nuclear-transcribed mRNA catabolic process, exonucleolytic
GO:0046132	BiologicalProcess	pyrimidine ribonucleoside biosynthetic process
GO:0006986	BiologicalProcess	response to unfolded protein
GO:0000303	BiologicalProcess	response to superoxide
GO:0008544	BiologicalProcess	epidermis development
GO:0015684	BiologicalProcess	ferrous iron transport
GO:0015747	BiologicalProcess	urate transport
GO:0045860	BiologicalProcess	positive regulation of protein kinase activity
GO:0015783	BiologicalProcess	GDP-fucose transmembrane transport
GO:0045926	BiologicalProcess	negative regulation of growth
GO:0009298	BiologicalProcess	GDP-mannose biosynthetic process
GO:0040012	BiologicalProcess	regulation of locomotion
GO:0035890	BiologicalProcess	exit from host
GO:0039526	BiologicalProcess	modulation by virus of host apoptotic process
GO:0097194	BiologicalProcess	execution phase of apoptosis
GO:2001312	BiologicalProcess	lysobisphosphatidic acid biosynthetic process
GO:0046890	BiologicalProcess	regulation of lipid biosynthetic process
GO:0046942	BiologicalProcess	carboxylic acid transport
GO:0046963	BiologicalProcess	3'-phosphoadenosine 5'-phosphosulfate transport
GO:0042776	BiologicalProcess	mitochondrial ATP synthesis coupled proton transport
GO:0042886	BiologicalProcess	amide transport
GO:0043066	BiologicalProcess	negative regulation of apoptotic process
GO:0043067	BiologicalProcess	regulation of programmed cell death
GO:0044260	BiologicalProcess	cellular macromolecule metabolic process
GO:0043170	BiologicalProcess	macromolecule metabolic process
GO:0044262	BiologicalProcess	cellular carbohydrate metabolic process
GO:0051249	BiologicalProcess	regulation of lymphocyte activation
GO:0048522	BiologicalProcess	positive regulation of cellular process
GO:0051347	BiologicalProcess	positive regulation of transferase activity
GO:0048468	BiologicalProcess	cell development
GO:0051208	BiologicalProcess	sequestering of calcium ion
GO:0001867	BiologicalProcess	complement activation, lectin pathway
GO:0050731	BiologicalProcess	positive regulation of peptidyl-tyrosine phosphorylation
GO:0043090	BiologicalProcess	amino acid import
GO:0031055	BiologicalProcess	chromatin remodeling at centromere
GO:0035082	BiologicalProcess	axoneme assembly
GO:0051640	BiologicalProcess	organelle localization
GO:0031570	BiologicalProcess	DNA integrity checkpoint
GO:0010257	BiologicalProcess	NADH dehydrogenase complex assembly
GO:0051650	BiologicalProcess	establishment of vesicle localization
GO:0043507	BiologicalProcess	positive regulation of JUN kinase activity
GO:0035666	BiologicalProcess	TRIF-dependent toll-like receptor signaling pathway
GO:0031334	BiologicalProcess	positive regulation of protein complex assembly
GO:0043436	BiologicalProcess	oxoacid metabolic process
GO:1902930	BiologicalProcess	regulation of alcohol biosynthetic process
GO:0097035	BiologicalProcess	regulation of membrane lipid distribution
GO:0002218	BiologicalProcess	activation of innate immune response
GO:0002444	BiologicalProcess	myeloid leukocyte mediated immunity
GO:0010558	BiologicalProcess	negative regulation of macromolecule biosynthetic process
GO:0010562	BiologicalProcess	positive regulation of phosphorus metabolic process
GO:0022407	BiologicalProcess	regulation of cell-cell adhesion
GO:0051983	BiologicalProcess	regulation of chromosome segregation
GO:0034219	BiologicalProcess	carbohydrate transmembrane transport
GO:0033762	BiologicalProcess	response to glucagon
GO:0032543	BiologicalProcess	mitochondrial translation
GO:1902105	BiologicalProcess	regulation of leukocyte differentiation
GO:1902110	BiologicalProcess	positive regulation of mitochondrial membrane permeability involved in apoptotic process
GO:0034367	BiologicalProcess	macromolecular complex remodeling
GO:0060260	BiologicalProcess	regulation of transcription initiation from RNA polymerase II promoter
GO:1903037	BiologicalProcess	regulation of leukocyte cell-cell adhesion
GO:1903047	BiologicalProcess	mitotic cell cycle process
GO:1903322	BiologicalProcess	positive regulation of protein modification by small protein conjugation or removal
GO:0034614	BiologicalProcess	cellular response to reactive oxygen species
GO:0060271	BiologicalProcess	cilium assembly
GO:0060338	BiologicalProcess	regulation of type I interferon-mediated signaling pathway
GO:0010771	BiologicalProcess	negative regulation of cell morphogenesis involved in differentiation
GO:1903364	BiologicalProcess	positive regulation of cellular protein catabolic process
GO:0070317	BiologicalProcess	negative regulation of G0 to G1 transition
GO:0010948	BiologicalProcess	negative regulation of cell cycle process
GO:0044091	BiologicalProcess	membrane biogenesis
GO:1903844	BiologicalProcess	regulation of cellular response to transforming growth factor beta stimulus
GO:0070887	BiologicalProcess	cellular response to chemical stimulus
GO:0070988	BiologicalProcess	demethylation
GO:1904029	BiologicalProcess	regulation of cyclin-dependent protein kinase activity
GO:0044718	BiologicalProcess	siderophore transmembrane transport
GO:0044728	BiologicalProcess	DNA methylation or demethylation
GO:1901569	BiologicalProcess	fatty acid derivative catabolic process
GO:1901568	BiologicalProcess	fatty acid derivative metabolic process
GO:1901571	BiologicalProcess	fatty acid derivative transport
GO:1901605	BiologicalProcess	alpha-amino acid metabolic process
GO:0036507	BiologicalProcess	protein demannosylation
GO:1990822	BiologicalProcess	basic amino acid transmembrane transport
GO:0023057	BiologicalProcess	negative regulation of signaling
GO:0071267	BiologicalProcess	L-methionine salvage
