id:ID	:LABEL	label
GO:0004659	MolecularFunction	prenyltransferase activity
GO:0016769	MolecularFunction	transferase activity, transferring nitrogenous groups
GO:0015405	MolecularFunction	P-P-bond-hydrolysis-driven transmembrane transporter activity
GO:0016853	MolecularFunction	isomerase activity
GO:0016616	MolecularFunction	oxidoreductase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor
GO:0016615	MolecularFunction	malate dehydrogenase activity
GO:0016298	MolecularFunction	lipase activity
GO:0008973	MolecularFunction	phosphopentomutase activity
GO:0016627	MolecularFunction	oxidoreductase activity, acting on the CH-CH group of donors
GO:0016840	MolecularFunction	carbon-nitrogen lyase activity
GO:0016841	MolecularFunction	ammonia-lyase activity
GO:0015197	MolecularFunction	peptide transporter activity
GO:0005231	MolecularFunction	excitatory extracellular ligand-gated ion channel activity
GO:0030414	MolecularFunction	peptidase inhibitor activity
GO:0004016	MolecularFunction	adenylate cyclase activity
GO:0004032	MolecularFunction	alditol:NADP+ 1-oxidoreductase activity
GO:0004042	MolecularFunction	acetyl-CoA:L-glutamate N-acetyltransferase activity
GO:0004168	MolecularFunction	dolichol kinase activity
GO:0016649	MolecularFunction	oxidoreductase activity, acting on the CH-NH group of donors, quinone or similar compound as acceptor
GO:0003993	MolecularFunction	acid phosphatase activity
GO:0004335	MolecularFunction	galactokinase activity
GO:0004353	MolecularFunction	glutamate dehydrogenase [NAD(P)+] activity
GO:0004398	MolecularFunction	histidine decarboxylase activity
GO:0008135	MolecularFunction	translation factor activity, RNA binding
GO:0004430	MolecularFunction	1-phosphatidylinositol 4-kinase activity
GO:0003836	MolecularFunction	beta-galactoside (CMP) alpha-2,3-sialyltransferase activity
GO:0004556	MolecularFunction	alpha-amylase activity
GO:0016160	MolecularFunction	amylase activity
GO:0003909	MolecularFunction	DNA ligase activity
GO:0004581	MolecularFunction	dolichyl-phosphate beta-glucosyltransferase activity
GO:0003951	MolecularFunction	NAD+ kinase activity
GO:0004603	MolecularFunction	phenylethanolamine N-methyltransferase activity
GO:0005277	MolecularFunction	acetylcholine transmembrane transporter activity
GO:0004698	MolecularFunction	calcium-dependent protein kinase C activity
GO:0005308	MolecularFunction	creatine transmembrane transporter activity
GO:0015142	MolecularFunction	tricarboxylic acid transmembrane transporter activity
GO:0015101	MolecularFunction	organic cation transmembrane transporter activity
GO:0004764	MolecularFunction	shikimate 3-dehydrogenase (NADP+) activity
GO:0004765	MolecularFunction	shikimate kinase activity
GO:0005456	MolecularFunction	CMP-N-acetylneuraminate transmembrane transporter activity
GO:0045127	MolecularFunction	N-acetylglucosamine kinase activity
GO:0030291	MolecularFunction	protein serine/threonine kinase inhibitor activity
GO:0015250	MolecularFunction	water channel activity
GO:0000250	MolecularFunction	lanosterol synthase activity
GO:0030378	MolecularFunction	serine racemase activity
GO:0015375	MolecularFunction	glycine:sodium symporter activity
GO:0015382	MolecularFunction	sodium:sulfate symporter activity
GO:0016250	MolecularFunction	N-sulfoglucosamine sulfohydrolase activity
GO:0008442	MolecularFunction	3-hydroxyisobutyrate dehydrogenase activity
GO:0008446	MolecularFunction	GDP-mannose 4,6-dehydratase activity
GO:0016415	MolecularFunction	octanoyltransferase activity
GO:0008474	MolecularFunction	palmitoyl-(protein) hydrolase activity
GO:0008479	MolecularFunction	queuine tRNA-ribosyltransferase activity
GO:0008482	MolecularFunction	sulfite oxidase activity
GO:0016316	MolecularFunction	phosphatidylinositol-3,4-bisphosphate 4-phosphatase activity
GO:0017050	MolecularFunction	D-erythro-sphingosine kinase activity
GO:0017057	MolecularFunction	6-phosphogluconolactonase activity
GO:0046573	MolecularFunction	lactonohydrolase activity
GO:0009384	MolecularFunction	N-acylmannosamine kinase activity
GO:0008781	MolecularFunction	N-acylneuraminate cytidylyltransferase activity
GO:0052866	MolecularFunction	phosphatidylinositol phosphate phosphatase activity
GO:0050104	MolecularFunction	L-gulonate 3-dehydrogenase activity
GO:0050115	MolecularFunction	myosin-light-chain-phosphatase activity
GO:0050627	MolecularFunction	mycothione reductase activity
GO:0030676	MolecularFunction	Rac guanyl-nucleotide exchange factor activity
GO:0047220	MolecularFunction	galactosylxylosylprotein 3-beta-galactosyltransferase activity
GO:0036222	MolecularFunction	XTP diphosphatase activity
GO:0061599	MolecularFunction	molybdopterin molybdotransferase activity
GO:0022803	MolecularFunction	passive transmembrane transporter activity
GO:0022838	MolecularFunction	substrate-specific channel activity
GO:0032403	MolecularFunction	protein complex binding
GO:0022832	MolecularFunction	voltage-gated channel activity
GO:0022824	MolecularFunction	transmitter-gated ion channel activity
GO:0051903	MolecularFunction	S-(hydroxymethyl)glutathione dehydrogenase activity
GO:0033961	MolecularFunction	cis-stilbene-oxide hydrolase activity
GO:0033787	MolecularFunction	cyanocobalamin reductase (cyanide-eliminating) activity
GO:0044717	MolecularFunction	8-hydroxy-dADP phosphatase activity
GO:0044212	MolecularFunction	transcription regulatory region DNA binding
GO:1901474	MolecularFunction	azole transmembrane transporter activity
GO:1901618	MolecularFunction	organic hydroxy compound transmembrane transporter activity
GO:0140096	MolecularFunction	catalytic activity, acting on a protein
GO:0052826	MolecularFunction	inositol hexakisphosphate 2-phosphatase activity
GO:0005057	MolecularFunction	signal transducer activity, downstream of receptor
GO:0016740	MolecularFunction	transferase activity
GO:0016727	MolecularFunction	oxidoreductase activity, acting on CH or CH2 groups, oxygen as acceptor
GO:0016741	MolecularFunction	transferase activity, transferring one-carbon groups
GO:0016763	MolecularFunction	transferase activity, transferring pentosyl groups
