:START_ID	:END_ID	:TYPE	source	score
CID:10100	ENSG00000112038	canonicalTarget	chembl	1.0
CID:10299876	ENSG00000151090	canonicalTarget	chembl	1.0
CID:10437018	ENSG00000146648	canonicalTarget	chembl	1.0
CID:10437018	ENSG00000141736	canonicalTarget	chembl	1.0
CID:10437018	ENSG00000178568	canonicalTarget	chembl	1.0
CID:11270783	ENSG00000170425	canonicalTarget	chembl	1.0
CID:11478684	ENSG00000169032	canonicalTarget	chembl	1.0
CID:11478684	ENSG00000126934	canonicalTarget	chembl	1.0
CID:11620908	ENSG00000146648	canonicalTarget	chembl	1.0
CID:11620908	ENSG00000141736	canonicalTarget	chembl	1.0
CID:11627443	ENSG00000128271	canonicalTarget	chembl	1.0
CID:11633038	ENSG00000064012	canonicalTarget	chembl	1.0
CID:11633038	ENSG00000132906	canonicalTarget	chembl	1.0
CID:11633038	ENSG00000137752	canonicalTarget	chembl	1.0
CID:134018	ENSG00000158125	canonicalTarget	chembl	1.0
CID:156422	ENSG00000112062	canonicalTarget	chembl	1.0
CID:16007367	ENSG00000196689	canonicalTarget	chembl	1.0
CID:16750192	ENSG00000169083	canonicalTarget	chembl	1.0
CID:17751090	ENSG00000196689	canonicalTarget	chembl	1.0
CID:24745335	ENSG00000134489	canonicalTarget	chembl	1.0
CID:25062766	ENSG00000096968	canonicalTarget	chembl	1.0
CID:25062766	ENSG00000162434	canonicalTarget	chembl	1.0
CID:25066467	ENSG00000097007	canonicalTarget	chembl	1.0
CID:25145656	ENSG00000105976	canonicalTarget	chembl	1.0
CID:2551	ENSG00000133019	canonicalTarget	chembl	1.0
CID:2725	ENSG00000196639	canonicalTarget	chembl	1.0
CID:2732	ENSG00000070915	canonicalTarget	chembl	1.0
CID:3019	ENSG00000121361	canonicalTarget	chembl	1.0
CID:3025986	ENSG00000136807	canonicalTarget	chembl	1.0
CID:3025986	ENSG00000277273	canonicalTarget	chembl	1.0
CID:3025986	ENSG00000123374	canonicalTarget	chembl	1.0
CID:3025986	ENSG00000134058	canonicalTarget	chembl	1.0
CID:3033538	ENSG00000120907	canonicalTarget	chembl	1.0
CID:3052776	ENSG00000069535	canonicalTarget	chembl	1.0
CID:3117	ENSG00000111275	canonicalTarget	chembl	1.0
CID:3156	ENSG00000171303	canonicalTarget	chembl	1.0
CID:3156	ENSG00000169427	canonicalTarget	chembl	1.0
CID:3957	ENSG00000196639	canonicalTarget	chembl	1.0
CID:4236	ENSG00000276996	canonicalTarget	chembl	1.0
CID:4236	ENSG00000142319	canonicalTarget	chembl	1.0
CID:42642648	ENSG00000141736	canonicalTarget	chembl	1.0
CID:42642648	ENSG00000146648	canonicalTarget	chembl	1.0
CID:4369359	ENSG00000197635	canonicalTarget	chembl	1.0
CID:45375953	ENSG00000198793	canonicalTarget	chembl	1.0
CID:4601	ENSG00000196639	canonicalTarget	chembl	1.0
CID:4601	ENSG00000103546	canonicalTarget	chembl	1.0
CID:4927	ENSG00000196639	canonicalTarget	chembl	1.0
CID:4932	ENSG00000169252	canonicalTarget	chembl	1.0
CID:49843471	ENSG00000183134	canonicalTarget	chembl	1.0
CID:4991	ENSG00000087085	canonicalTarget	chembl	1.0
CID:52919	ENSG00000102468	canonicalTarget	chembl	1.0
CID:5324346	ENSG00000108576	canonicalTarget	chembl	1.0
CID:54678486	ENSG00000167397	canonicalTarget	chembl	1.0
CID:5472	ENSG00000169313	canonicalTarget	chembl	1.0
CID:56846693	ENSG00000157764	canonicalTarget	chembl	1.0
CID:56846693	ENSG00000165731	canonicalTarget	chembl	1.0
CID:56846693	ENSG00000146648	canonicalTarget	chembl	1.0
CID:5745	ENSG00000113580	canonicalTarget	chembl	1.0
CID:5878	ENSG00000169083	canonicalTarget	chembl	1.0
CID:60795	ENSG00000149295	canonicalTarget	chembl	1.0
CID:60795	ENSG00000178394	canonicalTarget	chembl	1.0
CID:60795	ENSG00000102468	canonicalTarget	chembl	1.0
CID:638678	ENSG00000174417	canonicalTarget	chembl	1.0
CID:6435415	ENSG00000015413	canonicalTarget	chembl	1.0
CID:6540478	ENSG00000082175	canonicalTarget	chembl	1.0
CID:68740	ENSG00000160752	canonicalTarget	chembl	1.0
CID:6915835	ENSG00000111424	canonicalTarget	chembl	1.0
CID:6918284	ENSG00000168398	canonicalTarget	chembl	1.0
CID:6918540	ENSG00000087237	canonicalTarget	chembl	1.0
CID:9270	ENSG00000082175	canonicalTarget	chembl	1.0
CID:9811834	ENSG00000196549	canonicalTarget	chembl	1.0
CID:9833519	ENSG00000128271	canonicalTarget	chembl	1.0
CID:9854012	ENSG00000169313	canonicalTarget	chembl	1.0
CID:9948102	ENSG00000101180	canonicalTarget	chembl	1.0
CID:10090485	ENSG00000106799	canonicalTarget	chembl	1.0
CID:10096344	ENSG00000197635	canonicalTarget	chembl	1.0
CID:10161381	ENSG00000089041	canonicalTarget	chembl	1.0
CID:11556427	ENSG00000087237	canonicalTarget	chembl	1.0
CID:11641515	ENSG00000126218	canonicalTarget	chembl	1.0
CID:11687907	ENSG00000121966	canonicalTarget	chembl	1.0
CID:123600	ENSG00000169252	canonicalTarget	chembl	1.0
CID:13559281	ENSG00000082175	canonicalTarget	chembl	1.0
CID:16362	ENSG00000102468	canonicalTarget	chembl	1.0
CID:16923	ENSG00000113580	canonicalTarget	chembl	1.0
CID:2145	ENSG00000137869	canonicalTarget	chembl	1.0
CID:2145	ENSG00000140459	canonicalTarget	chembl	1.0
CID:223253	ENSG00000113580	canonicalTarget	chembl	1.0
CID:23635314	ENSG00000197122	canonicalTarget	chembl	1.0
CID:2368	ENSG00000103546	canonicalTarget	chembl	1.0
CID:2477	ENSG00000178394	canonicalTarget	chembl	1.0
CID:24795088	ENSG00000113580	canonicalTarget	chembl	1.0
CID:24901704	ENSG00000120156	canonicalTarget	chembl	1.0
CID:24901704	ENSG00000105976	canonicalTarget	chembl	1.0
CID:24993189	ENSG00000166851	canonicalTarget	chembl	1.0
CID:3002977	ENSG00000160791	canonicalTarget	chembl	1.0
CID:30323	ENSG00000131747	canonicalTarget	chembl	1.0
CID:3510	ENSG00000166736	canonicalTarget	chembl	1.0
CID:4075	ENSG00000132170	canonicalTarget	chembl	1.0
CID:4075	ENSG00000012779	canonicalTarget	chembl	1.0
CID:4075	ENSG00000275565	canonicalTarget	chembl	1.0
CID:4170	ENSG00000070915	canonicalTarget	chembl	1.0
CID:44093	ENSG00000159640	canonicalTarget	chembl	1.0
CID:441336	ENSG00000113580	canonicalTarget	chembl	1.0
CID:443928	ENSG00000113580	canonicalTarget	chembl	1.0
CID:443980	ENSG00000113580	canonicalTarget	chembl	1.0
CID:44557636	ENSG00000168959	canonicalTarget	chembl	1.0
CID:44631912	ENSG00000135446	canonicalTarget	chembl	1.0
CID:44631912	ENSG00000105810	canonicalTarget	chembl	1.0
CID:49831257	ENSG00000162434	canonicalTarget	chembl	1.0
CID:5090	ENSG00000073756	canonicalTarget	chembl	1.0
CID:5281004	ENSG00000113580	canonicalTarget	chembl	1.0
CID:5283820	ENSG00000131408	canonicalTarget	chembl	1.0
CID:5283820	ENSG00000025434	canonicalTarget	chembl	1.0
CID:5284514	ENSG00000196639	canonicalTarget	chembl	1.0
CID:5284549	ENSG00000104267	canonicalTarget	chembl	1.0
CID:5311067	ENSG00000113580	canonicalTarget	chembl	1.0
CID:54892	ENSG00000159640	canonicalTarget	chembl	1.0
CID:59239165	ENSG00000198793	canonicalTarget	chembl	1.0
CID:6018	ENSG00000165646	canonicalTarget	chembl	1.0
CID:6433122	ENSG00000102468	canonicalTarget	chembl	1.0
CID:6834	ENSG00000196639	canonicalTarget	chembl	1.0
CID:68873	ENSG00000082175	canonicalTarget	chembl	1.0
CID:6918155	ENSG00000113580	canonicalTarget	chembl	1.0
CID:6918173	ENSG00000168398	canonicalTarget	chembl	1.0
CID:6918525	ENSG00000178394	canonicalTarget	chembl	1.0
CID:7028	ENSG00000103546	canonicalTarget	chembl	1.0
CID:9837243	ENSG00000159164	canonicalTarget	chembl	1.0
CID:9957262	ENSG00000151617	canonicalTarget	chembl	1.0
CID:10295295	ENSG00000172819	canonicalTarget	chembl	1.0
CID:10348973	ENSG00000109163	canonicalTarget	chembl	1.0
CID:11282283	ENSG00000122025	canonicalTarget	chembl	1.0
CID:11282283	ENSG00000134853	canonicalTarget	chembl	1.0
CID:11282283	ENSG00000157404	canonicalTarget	chembl	1.0
CID:11282283	ENSG00000105976	canonicalTarget	chembl	1.0
CID:11349170	ENSG00000141736	canonicalTarget	chembl	1.0
CID:11349170	ENSG00000178568	canonicalTarget	chembl	1.0
CID:11349170	ENSG00000146648	canonicalTarget	chembl	1.0
CID:11417567	ENSG00000197635	canonicalTarget	chembl	1.0
CID:11434515	ENSG00000133019	canonicalTarget	chembl	1.0
