:START_ID	:END_ID	:TYPE	source	score
CID:49846579	CID:67226545	compoundSimilarity	ian	0.864077669902913
CID:49846579	CID:67227555	compoundSimilarity	ian	0.831775700934579
CID:176870	CID:16045442	compoundSimilarity	ian	0.770833333333333
CID:176870	CID:16045730	compoundSimilarity	ian	0.9
G02788839	CID:73292578	compoundSimilarity	ian	0.758064516129032
G02582044	CID:71259783	compoundSimilarity	ian	0.782608695652174
G02440155	CID:71267243	compoundSimilarity	ian	1.0
G02771849	CID:90036634	compoundSimilarity	ian	1.0
G02844523	CID:118737138	compoundSimilarity	ian	0.786666666666667
G02636617	CID:118642003	compoundSimilarity	ian	0.830508474576271
G02790922	CID:118737135	compoundSimilarity	ian	0.816901408450704
G02446110	CID:71267305	compoundSimilarity	ian	0.770491803278688
G01581055	CID:72544616	compoundSimilarity	ian	1.0
G01526647	CID:902873	compoundSimilarity	ian	0.763157894736842
G02634156	CID:91933859	compoundSimilarity	ian	0.979591836734694
G02663690	CID:118737133	compoundSimilarity	ian	0.788732394366197
G01528261	CID:668334	compoundSimilarity	ian	1.0
G01581634	CID:668334	compoundSimilarity	ian	0.785714285714286
G02695314	CID:90645541	compoundSimilarity	ian	0.76056338028169
G02678421	CID:90645541	compoundSimilarity	ian	0.794117647058823
G02663690	CID:118737136	compoundSimilarity	ian	0.785714285714286
G02695350	CID:118737136	compoundSimilarity	ian	0.773333333333333
G02777058	CID:118737136	compoundSimilarity	ian	0.802816901408451
G02447288	CID:71259491	compoundSimilarity	ian	0.808823529411765
G01581231	CID:71259597	compoundSimilarity	ian	0.753623188405797
G02601007	CID:73348034	compoundSimilarity	ian	0.816666666666667
G02448484	CID:71259516	compoundSimilarity	ian	0.808823529411765
G02631672	CID:73292746	compoundSimilarity	ian	0.783333333333333
G02441612	CID:71259506	compoundSimilarity	ian	0.815384615384615
G02539753	CID:71259506	compoundSimilarity	ian	0.848484848484849
G02446336	CID:72544619	compoundSimilarity	ian	0.770491803278688
G02446335	CID:72545063	compoundSimilarity	ian	0.758064516129032
G02581315	CID:72544389	compoundSimilarity	ian	0.756410256410256
G02444875	CID:44573307	compoundSimilarity	ian	0.805555555555556
G02664037	CID:118737132	compoundSimilarity	ian	0.777777777777778
G02442048	CID:71777717	compoundSimilarity	ian	1.0
