:START_ID	:END_ID	:TYPE	source	score
ENSG00000114956	EC:2.7.1.113	geneEC	chembl	1.0
ENSG00000110786	EC:3.1.3.48	geneEC	chembl	1.0
ENSG00000070748	EC:2.3.1.6	geneEC	chembl	1.0
ENSG00000105607	EC:1.3.8.6	geneEC	chembl	1.0
ENSG00000198380	EC:2.6.1.16	geneEC	chembl	1.0
ENSG00000176974	EC:2.1.2.1	geneEC	chembl	1.0
ENSG00000103653	EC:2.7.10.2	geneEC	chembl	1.0
ENSG00000101323	EC:1.1.3.15	geneEC	chembl	1.0
ENSG00000103174	EC:3.1.4.45	geneEC	chembl	1.0
ENSG00000109576	EC:2.6.1.39	geneEC	chembl	1.0
ENSG00000233151	EC:1.14.14.16	geneEC	chembl	1.0
ENSG00000138109	EC:1.14.14.52	geneEC	chembl	1.0
ENSG00000008118	EC:2.7.11.17	geneEC	chembl	1.0
ENSG00000169385	EC:3.1.27.5	geneEC	chembl	1.0
ENSG00000103415	EC:1.14.14.18	geneEC	chembl	1.0
ENSG00000156711	EC:2.7.11.24	geneEC	chembl	1.0
ENSG00000076984	EC:2.7.12.2	geneEC	chembl	1.0
ENSG00000065154	EC:2.6.1.13	geneEC	chembl	1.0
ENSG00000162551	EC:3.1.3.1	geneEC	chembl	1.0
ENSG00000214517	EC:3.1.1.89	geneEC	chembl	1.0
ENSG00000083168	EC:2.3.1.48	geneEC	chembl	1.0
ENSG00000172315	EC:2.7.11.1	geneEC	chembl	1.0
ENSG00000162526	EC:2.7.11.1	geneEC	chembl	1.0
ENSG00000169967	EC:2.7.11.25	geneEC	chembl	1.0
ENSG00000095777	EC:2.7.11.1	geneEC	chembl	1.0
ENSG00000198610	EC:1.1.1.357	geneEC	chembl	1.0
ENSG00000142623	EC:3.5.3.15	geneEC	chembl	1.0
ENSG00000114771	EC:3.1.1.3	geneEC	chembl	1.0
ENSG00000169710	EC:1.3.1.39	geneEC	chembl	1.0
ENSG00000036473	EC:2.1.3.3	geneEC	chembl	1.0
ENSG00000171862	EC:3.1.3.16	geneEC	chembl	1.0
ENSG00000141298	EC:3.1.3.48	geneEC	chembl	1.0
ENSG00000131187	EC:3.4.21.38	geneEC	chembl	1.0
ENSG00000100453	EC:3.4.21.79	geneEC	chembl	1.0
ENSG00000166391	EC:2.3.1.22	geneEC	chembl	1.0
ENSG00000274205	EC:2.7.11.24	geneEC	chembl	1.0
ENSG00000164045	EC:3.1.3.48	geneEC	chembl	1.0
ENSG00000101945	EC:2.1.1.43	geneEC	chembl	1.0
ENSG00000170312	EC:2.7.11.23	geneEC	chembl	1.0
ENSG00000091436	EC:2.7.11.25	geneEC	chembl	1.0
ENSG00000083807	EC:6.2.1.7	geneEC	chembl	1.0
ENSG00000135047	EC:3.4.22.15	geneEC	chembl	1.0
ENSG00000112679	EC:3.1.3.48	geneEC	chembl	1.0
ENSG00000139144	EC:2.7.1.154	geneEC	chembl	1.0
ENSG00000131446	EC:2.4.1.101	geneEC	chembl	1.0
ENSG00000141736	EC:2.7.10.1	geneEC	chembl	1.0
ENSG00000108799	EC:2.1.1.43	geneEC	chembl	1.0
ENSG00000168765	EC:2.5.1.18	geneEC	chembl	1.0
ENSG00000087095	EC:2.7.11.24	geneEC	chembl	1.0
ENSG00000235715	EC:3.4.25.1	geneEC	chembl	1.0
ENSG00000231631	EC:3.4.25.1	geneEC	chembl	1.0
ENSG00000065613	EC:2.7.11.1	geneEC	chembl	1.0
ENSG00000179913	EC:2.4.1.149	geneEC	chembl	1.0
ENSG00000179913	EC:2.4.1.146	geneEC	chembl	1.0
ENSG00000138756	EC:2.7.11.1	geneEC	chembl	1.0
ENSG00000129187	EC:3.5.4.12	geneEC	chembl	1.0
ENSG00000148834	EC:1.8.5.1	geneEC	chembl	1.0
ENSG00000080819	EC:1.3.3.3	geneEC	chembl	1.0
ENSG00000188784	EC:3.1.1.4	geneEC	chembl	1.0
ENSG00000116791	EC:1.6.5.5	geneEC	chembl	1.0
ENSG00000102572	EC:2.7.11.1	geneEC	chembl	1.0
ENSG00000100448	EC:3.4.21.20	geneEC	chembl	1.0
ENSG00000230456	EC:2.7.10.1	geneEC	chembl	1.0
ENSG00000105707	EC:3.4.21.106	geneEC	chembl	1.0
ENSG00000122008	EC:2.7.7.7	geneEC	chembl	1.0
ENSG00000140474	EC:2.7.11.1	geneEC	chembl	1.0
ENSG00000159228	EC:1.1.1.197	geneEC	chembl	1.0
ENSG00000171298	EC:3.2.1.20	geneEC	chembl	1.0
ENSG00000176105	EC:2.7.10.2	geneEC	chembl	1.0
ENSG00000248144	EC:1.1.1.1	geneEC	chembl	1.0
ENSG00000179335	EC:2.7.12.1	geneEC	chembl	1.0
ENSG00000162302	EC:2.7.11.1	geneEC	chembl	1.0
ENSG00000135587	EC:3.1.4.12	geneEC	chembl	1.0
ENSG00000014257	EC:3.1.3.2	geneEC	chembl	1.0
ENSG00000140465	EC:1.14.14.1	geneEC	chembl	1.0
ENSG00000099308	EC:2.7.11.1	geneEC	chembl	1.0
ENSG00000160209	EC:2.7.1.35	geneEC	chembl	1.0
ENSG00000119673	EC:3.1.2.2	geneEC	chembl	1.0
ENSG00000237763	EC:3.2.1.1	geneEC	chembl	1.0
ENSG00000160469	EC:2.7.11.1	geneEC	chembl	1.0
ENSG00000076685	EC:3.1.3.5	geneEC	chembl	1.0
ENSG00000149084	EC:1.1.1.62	geneEC	chembl	1.0
ENSG00000089597	EC:3.2.1.84	geneEC	chembl	1.0
ENSG00000206324	EC:2.3.1.51	geneEC	chembl	1.0
ENSG00000242366	EC:2.4.1.17	geneEC	chembl	1.0
ENSG00000160323	EC:3.4.24.87	geneEC	chembl	1.0
ENSG00000170209	EC:2.7.11.1	geneEC	chembl	1.0
ENSG00000105810	EC:2.7.11.22	geneEC	chembl	1.0
ENSG00000276023	EC:3.1.3.16	geneEC	chembl	1.0
ENSG00000044574	EC:3.6.4.10	geneEC	chembl	1.0
ENSG00000116237	EC:2.1.1.100	geneEC	chembl	1.0
ENSG00000125851	EC:3.4.21.94	geneEC	chembl	1.0
ENSG00000123454	EC:1.14.17.1	geneEC	chembl	1.0
ENSG00000117308	EC:5.1.3.7	geneEC	chembl	1.0
ENSG00000014641	EC:1.1.1.37	geneEC	chembl	1.0
ENSG00000124212	EC:5.3.99.4	geneEC	chembl	1.0
ENSG00000183696	EC:2.4.2.3	geneEC	chembl	1.0
ENSG00000074416	EC:3.1.1.23	geneEC	chembl	1.0
ENSG00000196139	EC:1.3.1.20	geneEC	chembl	1.0
ENSG00000169710	EC:3.1.2.14	geneEC	chembl	1.0
ENSG00000134202	EC:2.5.1.18	geneEC	chembl	1.0
ENSG00000137944	EC:2.6.1.63	geneEC	chembl	1.0
ENSG00000100985	EC:3.4.24.35	geneEC	chembl	1.0
ENSG00000170890	EC:3.1.1.4	geneEC	chembl	1.0
ENSG00000100596	EC:2.3.1.50	geneEC	chembl	1.0
ENSG00000108242	EC:1.14.14.1	geneEC	chembl	1.0
ENSG00000006432	EC:2.7.11.25	geneEC	chembl	1.0
ENSG00000151376	EC:1.1.1.40	geneEC	chembl	1.0
ENSG00000168522	EC:2.5.1.58	geneEC	chembl	1.0
ENSG00000132155	EC:2.7.11.1	geneEC	chembl	1.0
ENSG00000115661	EC:2.7.11.1	geneEC	chembl	1.0
ENSG00000226589	EC:6.1.1.9	geneEC	chembl	1.0
ENSG00000148154	EC:2.4.1.80	geneEC	chembl	1.0
ENSG00000077044	EC:2.7.1.107	geneEC	chembl	1.0
ENSG00000115419	EC:3.5.1.2	geneEC	chembl	1.0
ENSG00000152953	EC:2.7.11.1	geneEC	chembl	1.0
ENSG00000125388	EC:2.7.11.16	geneEC	chembl	1.0
ENSG00000204386	EC:3.2.1.18	geneEC	chembl	1.0
ENSG00000159339	EC:3.5.3.15	geneEC	chembl	1.0
ENSG00000275896	EC:3.4.21.4	geneEC	chembl	1.0
ENSG00000149925	EC:4.1.2.13	geneEC	chembl	1.0
ENSG00000065911	EC:1.5.1.15	geneEC	chembl	1.0
ENSG00000143870	EC:5.3.4.1	geneEC	chembl	1.0
ENSG00000168938	EC:5.2.1.8	geneEC	chembl	1.0
ENSG00000135503	EC:2.7.11.30	geneEC	chembl	1.0
ENSG00000139625	EC:2.7.11.25	geneEC	chembl	1.0
ENSG00000064012	EC:3.4.22.61	geneEC	chembl	1.0
ENSG00000243594	EC:3.4.25.1	geneEC	chembl	1.0
ENSG00000198648	EC:2.7.11.1	geneEC	chembl	1.0
ENSG00000204217	EC:2.7.11.30	geneEC	chembl	1.0
ENSG00000072133	EC:2.7.11.1	geneEC	chembl	1.0
ENSG00000084676	EC:2.3.1.48	geneEC	chembl	1.0
ENSG00000079277	EC:2.7.11.1	geneEC	chembl	1.0
ENSG00000154310	EC:2.7.11.1	geneEC	chembl	1.0
ENSG00000197977	EC:2.3.1.199	geneEC	chembl	1.0
ENSG00000141504	EC:2.3.1.57	geneEC	chembl	1.0
ENSG00000132840	EC:2.1.1.10	geneEC	chembl	1.0
ENSG00000108861	EC:3.1.3.48	geneEC	chembl	1.0
ENSG00000172943	EC:1.14.11.27	geneEC	chembl	1.0
ENSG00000101444	EC:3.3.1.1	geneEC	chembl	1.0
ENSG00000138792	EC:3.4.11.7	geneEC	chembl	1.0
ENSG00000132964	EC:2.7.11.22	geneEC	chembl	1.0
ENSG00000145242	EC:2.7.10.1	geneEC	chembl	1.0
ENSG00000107798	EC:3.1.1.13	geneEC	chembl	1.0
ENSG00000284741	EC:3.1.4.53	geneEC	chembl	1.0
ENSG00000115718	EC:3.4.21.69	geneEC	chembl	1.0
ENSG00000275176	EC:6.3.4.14	geneEC	chembl	1.0
ENSG00000278540	EC:6.3.4.14	geneEC	chembl	1.0
ENSG00000095321	EC:2.3.1.7	geneEC	chembl	1.0
ENSG00000277273	EC:2.7.11.22	geneEC	chembl	1.0
ENSG00000198001	EC:2.7.11.1	geneEC	chembl	1.0
ENSG00000166548	EC:2.7.1.21	geneEC	chembl	1.0
ENSG00000110955	EC:3.6.3.14	geneEC	chembl	1.0
ENSG00000276023	EC:3.1.3.48	geneEC	chembl	1.0
ENSG00000161905	EC:1.13.11.33	geneEC	chembl	1.0
ENSG00000152256	EC:2.7.11.2	geneEC	chembl	1.0
ENSG00000099875	EC:2.7.11.1	geneEC	chembl	1.0
ENSG00000083290	EC:2.7.11.1	geneEC	chembl	1.0
ENSG00000108786	EC:1.1.1.62	geneEC	chembl	1.0
ENSG00000173083	EC:3.2.1.166	geneEC	chembl	1.0
ENSG00000138061	EC:1.14.14.1	geneEC	chembl	1.0
ENSG00000082701	EC:2.7.11.26	geneEC	chembl	1.0
ENSG00000113575	EC:3.1.3.16	geneEC	chembl	1.0
ENSG00000159231	EC:1.1.1.184	geneEC	chembl	1.0
ENSG00000085563	EC:3.6.3.44	geneEC	chembl	1.0
ENSG00000159131	EC:6.3.3.1	geneEC	chembl	1.0
ENSG00000123836	EC:2.7.1.105	geneEC	chembl	1.0
ENSG00000065427	EC:6.1.1.6	geneEC	chembl	1.0
ENSG00000231116	EC:6.1.1.9	geneEC	chembl	1.0
ENSG00000175104	EC:2.3.2.27	geneEC	chembl	1.0
ENSG00000168781	EC:2.7.4.21	geneEC	chembl	1.0
ENSG00000130948	EC:1.1.1.64	geneEC	chembl	1.0
ENSG00000244067	EC:2.5.1.18	geneEC	chembl	1.0
ENSG00000166035	EC:3.1.1.3	geneEC	chembl	1.0
ENSG00000196511	EC:2.7.6.2	geneEC	chembl	1.0
ENSG00000136878	EC:3.4.19.12	geneEC	chembl	1.0
ENSG00000138592	EC:3.4.19.12	geneEC	chembl	1.0
ENSG00000163686	EC:3.1.1.23	geneEC	chembl	1.0
ENSG00000170312	EC:2.7.11.22	geneEC	chembl	1.0
ENSG00000156413	EC:2.4.1.65	geneEC	chembl	1.0
ENSG00000143772	EC:2.7.1.127	geneEC	chembl	1.0
ENSG00000198909	EC:2.7.11.25	geneEC	chembl	1.0
ENSG00000223957	EC:3.2.1.18	geneEC	chembl	1.0
ENSG00000227333	EC:2.1.1.43	geneEC	chembl	1.0
ENSG00000148450	EC:1.8.4.14	geneEC	chembl	1.0
ENSG00000099810	EC:2.4.2.28	geneEC	chembl	1.0
ENSG00000177453	EC:2.7.11.1	geneEC	chembl	1.0
ENSG00000188257	EC:3.1.1.4	geneEC	chembl	1.0
ENSG00000196502	EC:2.8.2.1	geneEC	chembl	1.0
ENSG00000104267	EC:4.2.1.1	geneEC	chembl	1.0
ENSG00000108984	EC:2.7.12.2	geneEC	chembl	1.0
ENSG00000162066	EC:3.5.1.25	geneEC	chembl	1.0
ENSG00000123143	EC:2.7.11.13	geneEC	chembl	1.0
ENSG00000168487	EC:3.4.24.19	geneEC	chembl	1.0
ENSG00000168032	EC:3.6.1.5	geneEC	chembl	1.0
ENSG00000137509	EC:3.4.16.2	geneEC	chembl	1.0
ENSG00000204264	EC:3.4.25.1	geneEC	chembl	1.0
ENSG00000139567	EC:2.7.11.30	geneEC	chembl	1.0
ENSG00000281813	EC:2.3.1.48	geneEC	chembl	1.0
ENSG00000204195	EC:2.3.1.75	geneEC	chembl	1.0
ENSG00000182578	EC:2.7.10.1	geneEC	chembl	1.0
ENSG00000153933	EC:2.7.1.107	geneEC	chembl	1.0
ENSG00000160211	EC:1.1.1.49	geneEC	chembl	1.0
ENSG00000184007	EC:3.1.3.48	geneEC	chembl	1.0
ENSG00000213923	EC:2.7.11.1	geneEC	chembl	1.0
