:START_ID	:END_ID	:TYPE	source	score
GO:0001671	GO:0032781	goComponentOf	go	1.0
GO:0004707	GO:0000165	goComponentOf	go	1.0
GO:0004784	GO:0019430	goComponentOf	go	1.0
GO:0004126	GO:0009972	goComponentOf	go	1.0
GO:0004550	GO:0006165	goComponentOf	go	1.0
GO:0005345	GO:1904823	goComponentOf	go	1.0
GO:0004705	GO:0007258	goComponentOf	go	1.0
GO:0004708	GO:0000165	goComponentOf	go	1.0
GO:0015081	GO:0035725	goComponentOf	go	1.0
GO:0015143	GO:0015747	goComponentOf	go	1.0
GO:0043225	GO:0099133	goComponentOf	go	1.0
GO:0034590	GO:0034589	goComponentOf	go	1.0
GO:0061134	GO:0052547	goComponentOf	go	1.0
GO:0019072	GO:0019068	goComponentOf	go	1.0
GO:0019080	GO:0019058	goComponentOf	go	1.0
GO:0006354	GO:0006351	goComponentOf	go	1.0
GO:0007062	GO:0000819	goComponentOf	go	1.0
GO:0044826	GO:0019058	goComponentOf	go	1.0
GO:0035036	GO:0007338	goComponentOf	go	1.0
GO:0043312	GO:0002446	goComponentOf	go	1.0
GO:0051204	GO:0070585	goComponentOf	go	1.0
GO:0038113	GO:0071355	goComponentOf	go	1.0
GO:0060218	GO:0030097	goComponentOf	go	1.0
GO:0097345	GO:0097190	goComponentOf	go	1.0
GO:0070126	GO:0032543	goComponentOf	go	1.0
GO:0070268	GO:0031424	goComponentOf	go	1.0
GO:1905349	GO:0060271	goComponentOf	go	1.0
GO:0005605	GO:0005604	goComponentOf	go	1.0
GO:0005758	GO:0005740	goComponentOf	go	1.0
GO:0005858	GO:0005930	goComponentOf	go	1.0
GO:0009279	GO:0030313	goComponentOf	go	1.0
GO:0030669	GO:0045334	goComponentOf	go	1.0
GO:0046930	GO:0016021	goComponentOf	go	1.0
GO:0072493	GO:0044174	goComponentOf	go	1.0
GO:0044445	GO:0005829	goComponentOf	go	1.0
GO:0033646	GO:0043656	goComponentOf	go	1.0
GO:0033643	GO:0043657	goComponentOf	go	1.0
GO:0033017	GO:0016529	goComponentOf	go	1.0
GO:0071556	GO:0098553	goComponentOf	go	1.0
GO:0098827	GO:0005783	goComponentOf	go	1.0
GO:0035580	GO:0042581	goComponentOf	go	1.0
GO:1990851	GO:0005886	goComponentOf	go	1.0
GO:0071256	GO:0030867	goComponentOf	go	1.0
GO:0071682	GO:0030139	goComponentOf	go	1.0
GO:0004012	GO:0045332	goComponentOf	go	1.0
GO:0003968	GO:0001172	goComponentOf	go	1.0
GO:0005385	GO:0071577	goComponentOf	go	1.0
GO:0008175	GO:0030488	goComponentOf	go	1.0
GO:0004849	GO:0006222	goComponentOf	go	1.0
GO:0008517	GO:0015884	goComponentOf	go	1.0
GO:0008424	GO:0036071	goComponentOf	go	1.0
GO:0017002	GO:0032924	goComponentOf	go	1.0
GO:0051786	GO:0042572	goComponentOf	go	1.0
GO:0090482	GO:0035461	goComponentOf	go	1.0
GO:0009887	GO:0048513	goComponentOf	go	1.0
GO:0001677	GO:0006413	goComponentOf	go	1.0
GO:0009790	GO:0007275	goComponentOf	go	1.0
GO:0006935	GO:0042221	goComponentOf	go	1.0
GO:0019371	GO:0001516	goComponentOf	go	1.0
GO:0006921	GO:0097194	goComponentOf	go	1.0
GO:0000070	GO:0140014	goComponentOf	go	1.0
GO:0000086	GO:0000278	goComponentOf	go	1.0
GO:0048207	GO:0006888	goComponentOf	go	1.0
GO:0048468	GO:0030154	goComponentOf	go	1.0
GO:0051319	GO:0051325	goComponentOf	go	1.0
GO:0001845	GO:0090382	goComponentOf	go	1.0
GO:0043087	GO:0032012	goComponentOf	go	1.0
GO:0051320	GO:0051325	goComponentOf	go	1.0
GO:0051304	GO:0007059	goComponentOf	go	1.0
GO:0051603	GO:0044257	goComponentOf	go	1.0
GO:0051817	GO:0044403	goComponentOf	go	1.0
GO:0051436	GO:0000278	goComponentOf	go	1.0
GO:0048812	GO:0031175	goComponentOf	go	1.0
GO:0034340	GO:0045087	goComponentOf	go	1.0
GO:0070102	GO:0071354	goComponentOf	go	1.0
GO:0098585	GO:0098584	goComponentOf	go	1.0
GO:0005789	GO:0098827	goComponentOf	go	1.0
GO:0000139	GO:0098791	goComponentOf	go	1.0
GO:0045244	GO:0005739	goComponentOf	go	1.0
GO:0031902	GO:0005770	goComponentOf	go	1.0
GO:0060201	GO:0060200	goComponentOf	go	1.0
GO:1903561	GO:0005576	goComponentOf	go	1.0
GO:0033162	GO:0045009	goComponentOf	go	1.0
GO:0046812	GO:0044764	goComponentOf	go	1.0
GO:0008514	GO:0015711	goComponentOf	go	1.0
GO:0004672	GO:0006468	goComponentOf	go	1.0
GO:0015149	GO:0008645	goComponentOf	go	1.0
GO:0003755	GO:0000413	goComponentOf	go	1.0
GO:0005085	GO:0043547	goComponentOf	go	1.0
GO:0003886	GO:0090116	goComponentOf	go	1.0
GO:0004743	GO:0006096	goComponentOf	go	1.0
GO:0000095	GO:1901962	goComponentOf	go	1.0
GO:0015187	GO:0015816	goComponentOf	go	1.0
GO:0015232	GO:0015886	goComponentOf	go	1.0
GO:0015234	GO:0071934	goComponentOf	go	1.0
GO:0016307	GO:0046854	goComponentOf	go	1.0
GO:0000295	GO:0051503	goComponentOf	go	1.0
GO:0036080	GO:0090480	goComponentOf	go	1.0
GO:0042800	GO:0051568	goComponentOf	go	1.0
GO:0006285	GO:0006284	goComponentOf	go	1.0
GO:0006286	GO:0006284	goComponentOf	go	1.0
GO:0006362	GO:0006360	goComponentOf	go	1.0
GO:0045184	GO:0008104	goComponentOf	go	1.0
GO:0048194	GO:0048193	goComponentOf	go	1.0
GO:0048513	GO:0048731	goComponentOf	go	1.0
GO:0051236	GO:0006403	goComponentOf	go	1.0
GO:0075509	GO:0046718	goComponentOf	go	1.0
GO:0031657	GO:0000082	goComponentOf	go	1.0
GO:0002244	GO:0030097	goComponentOf	go	1.0
GO:0098763	GO:0000278	goComponentOf	go	1.0
GO:0071163	GO:0033260	goComponentOf	go	1.0
GO:0097711	GO:0060271	goComponentOf	go	1.0
GO:0005654	GO:0031981	goComponentOf	go	1.0
GO:0030658	GO:0030133	goComponentOf	go	1.0
GO:0005794	GO:0012505	goComponentOf	go	1.0
GO:0005967	GO:0005759	goComponentOf	go	1.0
GO:0098584	GO:0044221	goComponentOf	go	1.0
GO:0044433	GO:0031410	goComponentOf	go	1.0
GO:0004857	GO:0043086	goComponentOf	go	1.0
GO:0004540	GO:0090501	goComponentOf	go	1.0
GO:0004536	GO:0006259	goComponentOf	go	1.0
GO:0004721	GO:0006470	goComponentOf	go	1.0
GO:0004520	GO:0000737	goComponentOf	go	1.0
GO:0004124	GO:0019344	goComponentOf	go	1.0
GO:0015174	GO:1990822	goComponentOf	go	1.0
GO:0015165	GO:0090481	goComponentOf	go	1.0
GO:0001736	GO:0001738	goComponentOf	go	1.0
GO:0019065	GO:0046718	goComponentOf	go	1.0
GO:0019221	GO:0071345	goComponentOf	go	1.0
GO:0019430	GO:0071451	goComponentOf	go	1.0
GO:0006288	GO:0006284	goComponentOf	go	1.0
GO:0006368	GO:0006366	goComponentOf	go	1.0
GO:0006393	GO:0006390	goComponentOf	go	1.0
GO:0007077	GO:0000278	goComponentOf	go	1.0
GO:0006489	GO:0006488	goComponentOf	go	1.0
GO:0006490	GO:0006488	goComponentOf	go	1.0
GO:0007411	GO:0007409	goComponentOf	go	1.0
GO:0002182	GO:0002181	goComponentOf	go	1.0
GO:0000910	GO:0051301	goComponentOf	go	1.0
GO:0046902	GO:0006839	goComponentOf	go	1.0
GO:0051235	GO:0051179	goComponentOf	go	1.0
GO:0051205	GO:0061024	goComponentOf	go	1.0
GO:1902402	GO:0044773	goComponentOf	go	1.0
GO:0071829	GO:0097006	goComponentOf	go	1.0
GO:0030867	GO:0005791	goComponentOf	go	1.0
GO:0031905	GO:0005769	goComponentOf	go	1.0
GO:0031968	GO:0031967	goComponentOf	go	1.0
GO:0044424	GO:0005622	goComponentOf	go	1.0
GO:0055029	GO:0005634	goComponentOf	go	1.0
GO:0033018	GO:0016529	goComponentOf	go	1.0
GO:0034592	GO:0008021	goComponentOf	go	1.0
GO:0097649	GO:0097545	goComponentOf	go	1.0
GO:0044167	GO:0033645	goComponentOf	go	1.0
GO:1990720	GO:0097540	goComponentOf	go	1.0
GO:1990719	GO:0097540	goComponentOf	go	1.0
GO:0061202	GO:0061200	goComponentOf	go	1.0
GO:0004521	GO:0090502	goComponentOf	go	1.0
GO:0004383	GO:0006182	goComponentOf	go	1.0
GO:0008417	GO:0036065	goComponentOf	go	1.0
GO:0003872	GO:0061615	goComponentOf	go	1.0
GO:0003899	GO:0032774	goComponentOf	go	1.0
GO:0015205	GO:0015851	goComponentOf	go	1.0
GO:0015175	GO:0015804	goComponentOf	go	1.0
GO:0015173	GO:0015801	goComponentOf	go	1.0
GO:0015220	GO:0015871	goComponentOf	go	1.0
GO:0004733	GO:0042823	goComponentOf	go	1.0
GO:0015111	GO:0015705	goComponentOf	go	1.0
GO:0015137	GO:0015746	goComponentOf	go	1.0
GO:0090416	GO:2001142	goComponentOf	go	1.0
GO:0035586	GO:0035587	goComponentOf	go	1.0
GO:0007165	GO:0007154	goComponentOf	go	1.0
GO:0006363	GO:0006360	goComponentOf	go	1.0
GO:0006385	GO:0006383	goComponentOf	go	1.0
GO:0006386	GO:0006383	goComponentOf	go	1.0
GO:0006414	GO:0006412	goComponentOf	go	1.0
GO:0007221	GO:0007219	goComponentOf	go	1.0
GO:0007596	GO:0042060	goComponentOf	go	1.0
GO:0030182	GO:0048699	goComponentOf	go	1.0
GO:0030205	GO:0050655	goComponentOf	go	1.0
GO:0030216	GO:0043588	goComponentOf	go	1.0
GO:0030855	GO:0060429	goComponentOf	go	1.0
GO:0051329	GO:0000278	goComponentOf	go	1.0
GO:0031018	GO:0035270	goComponentOf	go	1.0
GO:0048870	GO:0051674	goComponentOf	go	1.0
GO:0034381	GO:0097006	goComponentOf	go	1.0
GO:0070124	GO:0032543	goComponentOf	go	1.0
GO:0005635	GO:0012505	goComponentOf	go	1.0
GO:0005768	GO:0012505	goComponentOf	go	1.0
GO:0005930	GO:0097014	goComponentOf	go	1.0
GO:0030894	GO:0005657	goComponentOf	go	1.0
GO:0044435	GO:0009536	goComponentOf	go	1.0
GO:0044462	GO:0030312	goComponentOf	go	1.0
GO:0030133	GO:0012505	goComponentOf	go	1.0
GO:0044166	GO:0044165	goComponentOf	go	1.0
GO:1904724	GO:0070820	goComponentOf	go	1.0
GO:0005881	GO:0005737	goComponentOf	go	1.0
GO:0015078	GO:1902600	goComponentOf	go	1.0
GO:0004529	GO:0000738	goComponentOf	go	1.0
GO:0019200	GO:0046835	goComponentOf	go	1.0
GO:0004866	GO:0010951	goComponentOf	go	1.0
GO:0019206	GO:0009165	goComponentOf	go	1.0
GO:0005353	GO:0015755	goComponentOf	go	1.0
GO:0042054	GO:0016571	goComponentOf	go	1.0
GO:0004103	GO:0006657	goComponentOf	go	1.0
GO:0003743	GO:0006413	goComponentOf	go	1.0
GO:0005244	GO:0034765	goComponentOf	go	1.0
GO:0015185	GO:0015812	goComponentOf	go	1.0
GO:0004709	GO:0000165	goComponentOf	go	1.0
GO:0005384	GO:0071421	goComponentOf	go	1.0
GO:0019829	GO:0099132	goComponentOf	go	1.0
GO:0015139	GO:0015742	goComponentOf	go	1.0
GO:0016274	GO:0035246	goComponentOf	go	1.0
GO:0016505	GO:0006915	goComponentOf	go	1.0
GO:0052742	GO:0046854	goComponentOf	go	1.0
GO:0035004	GO:0046854	goComponentOf	go	1.0
GO:0072509	GO:0072511	goComponentOf	go	1.0
GO:0006361	GO:0006360	goComponentOf	go	1.0
GO:0000090	GO:0000087	goComponentOf	go	1.0
GO:0006919	GO:0006915	goComponentOf	go	1.0
GO:1902299	GO:0044786	goComponentOf	go	1.0
GO:0051322	GO:0000279	goComponentOf	go	1.0
GO:0051306	GO:0000070	goComponentOf	go	1.0
GO:0022607	GO:0044085	goComponentOf	go	1.0
GO:1902110	GO:0006915	goComponentOf	go	1.0
GO:0075733	GO:0019058	goComponentOf	go	1.0
GO:0005947	GO:0005739	goComponentOf	go	1.0
GO:0031093	GO:0031091	goComponentOf	go	1.0
GO:0031090	GO:0043227	goComponentOf	go	1.0
GO:0043230	GO:0005576	goComponentOf	go	1.0
GO:0099513	GO:0005856	goComponentOf	go	1.0
GO:0005874	GO:0015630	goComponentOf	go	1.0
GO:0044798	GO:0005634	goComponentOf	go	1.0
GO:0008373	GO:0097503	goComponentOf	go	1.0
GO:0008907	GO:0015074	goComponentOf	go	1.0
GO:0004001	GO:0006167	goComponentOf	go	1.0
GO:0004725	GO:0035335	goComponentOf	go	1.0
GO:0005068	GO:0007169	goComponentOf	go	1.0
GO:0005342	GO:1903825	goComponentOf	go	1.0
GO:0015245	GO:0015908	goComponentOf	go	1.0
GO:0015215	GO:1901679	goComponentOf	go	1.0
GO:0005456	GO:0015782	goComponentOf	go	1.0
GO:0000048	GO:0006412	goComponentOf	go	1.0
GO:0015168	GO:0015793	goComponentOf	go	1.0
