:START_ID	:END_ID	:TYPE	source	score
GO:0006915	GO:0097194	goHasPart	go	1.0
GO:0006511	GO:0016567	goHasPart	go	1.0
GO:0007004	GO:0003720	goHasPart	go	1.0
GO:0006914	GO:0055085	goHasPart	go	1.0
GO:0007340	GO:0002078	goHasPart	go	1.0
GO:0009052	GO:0004802	goHasPart	go	1.0
GO:0061624	GO:0050354	goHasPart	go	1.0
GO:0061624	GO:0004454	goHasPart	go	1.0
GO:0005930	GO:0005874	goHasPart	go	1.0
GO:0061134	GO:0002020	goHasPart	go	1.0
GO:0000737	GO:0004520	goHasPart	go	1.0
GO:0061624	GO:0061609	goHasPart	go	1.0
GO:0032324	GO:0030366	goHasPart	go	1.0
GO:0033260	GO:0071163	goHasPart	go	1.0
GO:0099131	GO:0016887	goHasPart	go	1.0
GO:0099132	GO:0016887	goHasPart	go	1.0
GO:0097546	GO:0097539	goHasPart	go	1.0
GO:0005026	GO:0050431	goHasPart	go	1.0
GO:0006323	GO:0008301	goHasPart	go	1.0
GO:0000278	GO:0140014	goHasPart	go	1.0
GO:0006096	GO:0004634	goHasPart	go	1.0
GO:0007340	GO:0060478	goHasPart	go	1.0
GO:0033260	GO:0006269	goHasPart	go	1.0
GO:0033260	GO:0006268	goHasPart	go	1.0
GO:0030313	GO:0005886	goHasPart	go	1.0
GO:0005041	GO:0030169	goHasPart	go	1.0
GO:0006915	GO:0097190	goHasPart	go	1.0
GO:0006119	GO:0015986	goHasPart	go	1.0
GO:0007004	GO:1905324	goHasPart	go	1.0
GO:0007193	GO:0043951	goHasPart	go	1.0
GO:0075713	GO:0044826	goHasPart	go	1.0
GO:0019062	GO:0046812	goHasPart	go	1.0
GO:0061615	GO:0004332	goHasPart	go	1.0
GO:0034383	GO:0090495	goHasPart	go	1.0
GO:0005656	GO:0042555	goHasPart	go	1.0
GO:0031261	GO:0005656	goHasPart	go	1.0
GO:0000045	GO:1904745	goHasPart	go	1.0
GO:0000050	GO:0004056	goHasPart	go	1.0
GO:0000050	GO:0004055	goHasPart	go	1.0
GO:0009051	GO:0004345	goHasPart	go	1.0
