:START_ID	:END_ID	:TYPE	source	score
R-HSA-1482839	GO:0005829	pathwayCellularComponent	reactome	1.0
R-HSA-70263	GO:0005829	pathwayCellularComponent	reactome	1.0
R-HSA-191273	GO:0005829	pathwayCellularComponent	reactome	1.0
R-HSA-964975	GO:0005829	pathwayCellularComponent	reactome	1.0
R-HSA-159418	GO:0005829	pathwayCellularComponent	reactome	1.0
R-HSA-9026762	GO:0005829	pathwayCellularComponent	reactome	1.0
R-HSA-70635	GO:0005829	pathwayCellularComponent	reactome	1.0
R-HSA-5627123	GO:0005829	pathwayCellularComponent	reactome	1.0
R-HSA-8862803	GO:0005829	pathwayCellularComponent	reactome	1.0
R-HSA-198693	GO:0005654	pathwayCellularComponent	reactome	1.0
R-HSA-5693607	GO:0005654	pathwayCellularComponent	reactome	1.0
R-HSA-167162	GO:0005654	pathwayCellularComponent	reactome	1.0
R-HSA-69273	GO:0005654	pathwayCellularComponent	reactome	1.0
R-HSA-113418	GO:0005654	pathwayCellularComponent	reactome	1.0
R-HSA-68949	GO:0005654	pathwayCellularComponent	reactome	1.0
R-HSA-156711	GO:0005654	pathwayCellularComponent	reactome	1.0
R-HSA-167172	GO:0005654	pathwayCellularComponent	reactome	1.0
R-HSA-8940973	GO:0005654	pathwayCellularComponent	reactome	1.0
R-HSA-70370	GO:0005829	pathwayCellularComponent	reactome	1.0
R-HSA-70263	GO:0005759	pathwayCellularComponent	reactome	1.0
R-HSA-5579000	GO:0005829	pathwayCellularComponent	reactome	1.0
R-HSA-8983432	GO:0005829	pathwayCellularComponent	reactome	1.0
R-HSA-8857538	GO:0005829	pathwayCellularComponent	reactome	1.0
R-HSA-6804757	GO:0005829	pathwayCellularComponent	reactome	1.0
R-HSA-210993	GO:0005829	pathwayCellularComponent	reactome	1.0
R-HSA-975110	GO:0005829	pathwayCellularComponent	reactome	1.0
R-HSA-190372	GO:0005829	pathwayCellularComponent	reactome	1.0
R-HSA-399956	GO:0005829	pathwayCellularComponent	reactome	1.0
R-HSA-114516	GO:0005829	pathwayCellularComponent	reactome	1.0
R-HSA-389948	GO:0005829	pathwayCellularComponent	reactome	1.0
R-HSA-418889	GO:0005829	pathwayCellularComponent	reactome	1.0
R-HSA-190375	GO:0005829	pathwayCellularComponent	reactome	1.0
R-HSA-5654228	GO:0005829	pathwayCellularComponent	reactome	1.0
R-HSA-917729	GO:0005829	pathwayCellularComponent	reactome	1.0
R-HSA-389957	GO:0005829	pathwayCellularComponent	reactome	1.0
R-HSA-3359469	GO:0005829	pathwayCellularComponent	reactome	1.0
R-HSA-264876	GO:0005829	pathwayCellularComponent	reactome	1.0
R-HSA-211227	GO:0005654	pathwayCellularComponent	reactome	1.0
R-HSA-379726	GO:0005759	pathwayCellularComponent	reactome	1.0
R-HSA-171319	GO:0005654	pathwayCellularComponent	reactome	1.0
R-HSA-5619077	GO:0005829	pathwayCellularComponent	reactome	1.0
R-HSA-77595	GO:0005654	pathwayCellularComponent	reactome	1.0
R-HSA-72165	GO:0005654	pathwayCellularComponent	reactome	1.0
R-HSA-8851708	GO:0005654	pathwayCellularComponent	reactome	1.0
R-HSA-211999	GO:0005789	pathwayCellularComponent	reactome	1.0
R-HSA-432040	GO:0005886	pathwayCellularComponent	reactome	1.0
R-HSA-442720	GO:0005886	pathwayCellularComponent	reactome	1.0
R-HSA-6814122	GO:0005886	pathwayCellularComponent	reactome	1.0
R-HSA-5617472	GO:0005654	pathwayCellularComponent	reactome	1.0
R-HSA-8851805	GO:0005576	pathwayCellularComponent	reactome	1.0
R-HSA-380270	GO:0005829	pathwayCellularComponent	reactome	1.0
R-HSA-5625740	GO:0005886	pathwayCellularComponent	reactome	1.0
R-HSA-2730905	GO:0005886	pathwayCellularComponent	reactome	1.0
R-HSA-1483166	GO:0005741	pathwayCellularComponent	reactome	1.0
R-HSA-8931987	GO:0005741	pathwayCellularComponent	reactome	1.0
R-HSA-2565942	GO:0005654	pathwayCellularComponent	reactome	1.0
R-HSA-2424491	GO:0005886	pathwayCellularComponent	reactome	1.0
R-HSA-5675221	GO:0005886	pathwayCellularComponent	reactome	1.0
R-HSA-176974	GO:0005654	pathwayCellularComponent	reactome	1.0
R-HSA-1362300	GO:0005654	pathwayCellularComponent	reactome	1.0
R-HSA-210500	GO:0005759	pathwayCellularComponent	reactome	1.0
R-HSA-3359475	GO:0005759	pathwayCellularComponent	reactome	1.0
R-HSA-5578995	GO:0005829	pathwayCellularComponent	reactome	1.0
R-HSA-5686938	GO:0005576	pathwayCellularComponent	reactome	1.0
R-HSA-427589	GO:0005576	pathwayCellularComponent	reactome	1.0
R-HSA-210500	GO:0005576	pathwayCellularComponent	reactome	1.0
R-HSA-425366	GO:0005576	pathwayCellularComponent	reactome	1.0
R-HSA-425428	GO:0005576	pathwayCellularComponent	reactome	1.0
R-HSA-5619109	GO:0005576	pathwayCellularComponent	reactome	1.0
R-HSA-1296072	GO:0005576	pathwayCellularComponent	reactome	1.0
R-HSA-1299287	GO:0005576	pathwayCellularComponent	reactome	1.0
R-HSA-168336	GO:0031904	pathwayCellularComponent	reactome	1.0
R-HSA-2024096	GO:0005829	pathwayCellularComponent	reactome	1.0
R-HSA-77346	GO:0005743	pathwayCellularComponent	reactome	1.0
R-HSA-2660826	GO:0005886	pathwayCellularComponent	reactome	1.0
R-HSA-196807	GO:0005576	pathwayCellularComponent	reactome	1.0
R-HSA-432047	GO:0005576	pathwayCellularComponent	reactome	1.0
R-HSA-432040	GO:0005576	pathwayCellularComponent	reactome	1.0
R-HSA-4755583	GO:0005829	pathwayCellularComponent	reactome	1.0
R-HSA-2142753	GO:0005789	pathwayCellularComponent	reactome	1.0
R-HSA-4086398	GO:0005788	pathwayCellularComponent	reactome	1.0
R-HSA-877312	GO:0005654	pathwayCellularComponent	reactome	1.0
R-HSA-1855231	GO:0005788	pathwayCellularComponent	reactome	1.0
R-HSA-3282872	GO:0005788	pathwayCellularComponent	reactome	1.0
