:START_ID	:END_ID	:TYPE	source	score
R-HSA-73621	CID:1174	pathwayCompound	reactome	1.0
R-HSA-83936	CID:1174	pathwayCompound	reactome	1.0
R-HSA-73614	CID:1174	pathwayCompound	reactome	1.0
R-HSA-110329	CID:1174	pathwayCompound	reactome	1.0
R-HSA-420499	CID:11807014	pathwayCompound	reactome	1.0
R-HSA-418594	CID:11807014	pathwayCompound	reactome	1.0
R-HSA-189451	CID:121893	pathwayCompound	reactome	1.0
R-HSA-156584	CID:122136	pathwayCompound	reactome	1.0
R-HSA-9026290	CID:131983349	pathwayCompound	reactome	1.0
R-HSA-9018677	CID:131983349	pathwayCompound	reactome	1.0
R-HSA-9018682	CID:131983349	pathwayCompound	reactome	1.0
R-HSA-9027307	CID:131983349	pathwayCompound	reactome	1.0
R-HSA-2033514	CID:1401	pathwayCompound	reactome	1.0
R-HSA-1839120	CID:1401	pathwayCompound	reactome	1.0
R-HSA-2023837	CID:1401	pathwayCompound	reactome	1.0
R-HSA-1839128	CID:1401	pathwayCompound	reactome	1.0
R-HSA-1839117	CID:1401	pathwayCompound	reactome	1.0
R-HSA-2033519	CID:1401	pathwayCompound	reactome	1.0
R-HSA-73817	CID:16048619	pathwayCompound	reactome	1.0
R-HSA-9018676	CID:16061139	pathwayCompound	reactome	1.0
R-HSA-156590	CID:189122	pathwayCompound	reactome	1.0
R-HSA-71384	CID:189122	pathwayCompound	reactome	1.0
R-HSA-2142789	CID:25010743	pathwayCompound	reactome	1.0
R-HSA-389599	CID:25137904	pathwayCompound	reactome	1.0
R-HSA-389887	CID:25137904	pathwayCompound	reactome	1.0
R-HSA-75876	CID:25229584	pathwayCompound	reactome	1.0
R-HSA-71336	CID:439168	pathwayCompound	reactome	1.0
R-HSA-163754	CID:439168	pathwayCompound	reactome	1.0
R-HSA-70171	CID:439168	pathwayCompound	reactome	1.0
R-HSA-70263	CID:439168	pathwayCompound	reactome	1.0
R-HSA-70350	CID:439168	pathwayCompound	reactome	1.0
R-HSA-6791055	CID:439168	pathwayCompound	reactome	1.0
R-HSA-70921	CID:439233	pathwayCompound	reactome	1.0
R-HSA-5662702	CID:439316	pathwayCompound	reactome	1.0
R-HSA-6787639	CID:444863	pathwayCompound	reactome	1.0
R-HSA-975634	CID:446798	pathwayCompound	reactome	1.0
R-HSA-211945	CID:448223	pathwayCompound	reactome	1.0
R-HSA-73621	CID:449392	pathwayCompound	reactome	1.0
R-HSA-9027604	CID:45105201	pathwayCompound	reactome	1.0
R-HSA-418594	CID:5143	pathwayCompound	reactome	1.0
R-HSA-420499	CID:5143	pathwayCompound	reactome	1.0
R-HSA-1474151	CID:5200	pathwayCompound	reactome	1.0
R-HSA-203615	CID:5200	pathwayCompound	reactome	1.0
R-HSA-5218921	CID:5280335	pathwayCompound	reactome	1.0
R-HSA-1660662	CID:5280335	pathwayCompound	reactome	1.0
R-HSA-1660661	CID:5280335	pathwayCompound	reactome	1.0
R-HSA-2142688	CID:5280733	pathwayCompound	reactome	1.0
R-HSA-197264	CID:5288881	pathwayCompound	reactome	1.0
R-HSA-211981	CID:5362449	pathwayCompound	reactome	1.0
R-HSA-73817	CID:5459918	pathwayCompound	reactome	1.0
R-HSA-156588	CID:5460873	pathwayCompound	reactome	1.0
R-HSA-193775	CID:56927967	pathwayCompound	reactome	1.0
R-HSA-389887	CID:56927993	pathwayCompound	reactome	1.0
R-HSA-2046106	CID:56928001	pathwayCompound	reactome	1.0
R-HSA-390247	CID:57339307	pathwayCompound	reactome	1.0
R-HSA-5223345	CID:6322	pathwayCompound	reactome	1.0
R-HSA-165159	CID:6322	pathwayCompound	reactome	1.0
R-HSA-70635	CID:6322	pathwayCompound	reactome	1.0
R-HSA-352230	CID:6322	pathwayCompound	reactome	1.0
R-HSA-379726	CID:6322	pathwayCompound	reactome	1.0
R-HSA-420499	CID:6322	pathwayCompound	reactome	1.0
R-HSA-5619113	CID:6322	pathwayCompound	reactome	1.0
R-HSA-416476	CID:6322	pathwayCompound	reactome	1.0
R-HSA-5660883	CID:6322	pathwayCompound	reactome	1.0
R-HSA-442660	CID:6322	pathwayCompound	reactome	1.0
R-HSA-5619094	CID:6322	pathwayCompound	reactome	1.0
R-HSA-71288	CID:6322	pathwayCompound	reactome	1.0
R-HSA-379716	CID:6322	pathwayCompound	reactome	1.0
R-HSA-2022377	CID:6322	pathwayCompound	reactome	1.0
R-HSA-5676934	CID:6322	pathwayCompound	reactome	1.0
R-HSA-211945	CID:6322	pathwayCompound	reactome	1.0
R-HSA-351143	CID:6322	pathwayCompound	reactome	1.0
R-HSA-5660862	CID:6322	pathwayCompound	reactome	1.0
R-HSA-5218920	CID:6322	pathwayCompound	reactome	1.0
R-HSA-203615	CID:6322	pathwayCompound	reactome	1.0
R-HSA-1222556	CID:6322	pathwayCompound	reactome	1.0
R-HSA-392154	CID:6322	pathwayCompound	reactome	1.0
R-HSA-163841	CID:6439225	pathwayCompound	reactome	1.0
R-HSA-381340	CID:6443013	pathwayCompound	reactome	1.0
R-HSA-8943724	CID:6443013	pathwayCompound	reactome	1.0
R-HSA-211976	CID:6453841	pathwayCompound	reactome	1.0
R-HSA-196108	CID:6453841	pathwayCompound	reactome	1.0
R-HSA-5579026	CID:6453841	pathwayCompound	reactome	1.0
R-HSA-74217	CID:65058	pathwayCompound	reactome	1.0
R-HSA-74259	CID:65058	pathwayCompound	reactome	1.0
R-HSA-6798163	CID:673	pathwayCompound	reactome	1.0
R-HSA-1614635	CID:673	pathwayCompound	reactome	1.0
R-HSA-156584	CID:80349	pathwayCompound	reactome	1.0
R-HSA-211945	CID:83970	pathwayCompound	reactome	1.0
R-HSA-200425	CID:85	pathwayCompound	reactome	1.0
R-HSA-5362517	CID:85	pathwayCompound	reactome	1.0
R-HSA-389887	CID:85	pathwayCompound	reactome	1.0
R-HSA-5619053	CID:85	pathwayCompound	reactome	1.0
R-HSA-71262	CID:85	pathwayCompound	reactome	1.0
R-HSA-549127	CID:85	pathwayCompound	reactome	1.0
R-HSA-112310	CID:8899	pathwayCompound	reactome	1.0
R-HSA-156588	CID:89594	pathwayCompound	reactome	1.0
R-HSA-500753	CID:93072	pathwayCompound	reactome	1.0
R-HSA-163560	CID:985	pathwayCompound	reactome	1.0
R-HSA-75105	CID:985	pathwayCompound	reactome	1.0
R-HSA-112310	CID:985	pathwayCompound	reactome	1.0
R-HSA-1660661	CID:985	pathwayCompound	reactome	1.0
R-HSA-373760	CID:985	pathwayCompound	reactome	1.0
R-HSA-75876	CID:985	pathwayCompound	reactome	1.0
R-HSA-975634	CID:985	pathwayCompound	reactome	1.0
R-HSA-2453902	CID:985	pathwayCompound	reactome	1.0
R-HSA-192456	CID:985	pathwayCompound	reactome	1.0
R-HSA-416476	CID:985	pathwayCompound	reactome	1.0
R-HSA-444209	CID:985	pathwayCompound	reactome	1.0
R-HSA-434316	CID:985	pathwayCompound	reactome	1.0
R-HSA-400206	CID:985	pathwayCompound	reactome	1.0
R-HSA-75896	CID:985	pathwayCompound	reactome	1.0
R-HSA-203615	CID:985	pathwayCompound	reactome	1.0
R-HSA-2187335	CID:985	pathwayCompound	reactome	1.0
R-HSA-156584	CID:996	pathwayCompound	reactome	1.0
R-HSA-156588	CID:996	pathwayCompound	reactome	1.0
R-HSA-211999	CID:996	pathwayCompound	reactome	1.0
R-HSA-2142789	CID:9962735	pathwayCompound	reactome	1.0
R-HSA-141333	CID:1001	pathwayCompound	reactome	1.0
R-HSA-375280	CID:1001	pathwayCompound	reactome	1.0
R-HSA-418555	CID:1001	pathwayCompound	reactome	1.0
R-HSA-73621	CID:101543	pathwayCompound	reactome	1.0
R-HSA-156581	CID:1049	pathwayCompound	reactome	1.0
R-HSA-70171	CID:105021	pathwayCompound	reactome	1.0
R-HSA-5628897	CID:105021	pathwayCompound	reactome	1.0
R-HSA-964975	CID:1053	pathwayCompound	reactome	1.0
R-HSA-196807	CID:1066	pathwayCompound	reactome	1.0
R-HSA-5662702	CID:119399	pathwayCompound	reactome	1.0
R-HSA-70895	CID:11966117	pathwayCompound	reactome	1.0
R-HSA-389599	CID:11966121	pathwayCompound	reactome	1.0
R-HSA-70895	CID:11966141	pathwayCompound	reactome	1.0
R-HSA-196108	CID:129	pathwayCompound	reactome	1.0
R-HSA-211976	CID:129	pathwayCompound	reactome	1.0
R-HSA-9026395	CID:132472322	pathwayCompound	reactome	1.0
R-HSA-9026766	CID:132472322	pathwayCompound	reactome	1.0
R-HSA-73614	CID:13712	pathwayCompound	reactome	1.0
R-HSA-73621	CID:13712	pathwayCompound	reactome	1.0
R-HSA-5423646	CID:15558498	pathwayCompound	reactome	1.0
R-HSA-168181	CID:159603	pathwayCompound	reactome	1.0
R-HSA-975110	CID:159603	pathwayCompound	reactome	1.0
R-HSA-975155	CID:159603	pathwayCompound	reactome	1.0
R-HSA-975138	CID:159603	pathwayCompound	reactome	1.0
R-HSA-8850843	CID:164628	pathwayCompound	reactome	1.0
R-HSA-499943	CID:164628	pathwayCompound	reactome	1.0
R-HSA-211958	CID:301590	pathwayCompound	reactome	1.0
R-HSA-217271	CID:3033895	pathwayCompound	reactome	1.0
R-HSA-71064	CID:3081383	pathwayCompound	reactome	1.0
R-HSA-211945	CID:37786	pathwayCompound	reactome	1.0
R-HSA-70350	CID:439183	pathwayCompound	reactome	1.0
R-HSA-977347	CID:439183	pathwayCompound	reactome	1.0
R-HSA-70263	CID:439183	pathwayCompound	reactome	1.0
R-HSA-70171	CID:439183	pathwayCompound	reactome	1.0
R-HSA-191273	CID:439400	pathwayCompound	reactome	1.0
R-HSA-418594	CID:439503	pathwayCompound	reactome	1.0
R-HSA-420499	CID:439503	pathwayCompound	reactome	1.0
R-HSA-879518	CID:5280363	pathwayCompound	reactome	1.0
R-HSA-5619095	CID:5280363	pathwayCompound	reactome	1.0
R-HSA-2162123	CID:5280363	pathwayCompound	reactome	1.0
R-HSA-416476	CID:5280363	pathwayCompound	reactome	1.0
R-HSA-391908	CID:5280363	pathwayCompound	reactome	1.0
R-HSA-1660661	CID:5280541	pathwayCompound	reactome	1.0
R-HSA-193368	CID:5284271	pathwayCompound	reactome	1.0
R-HSA-198933	CID:52921628	pathwayCompound	reactome	1.0
R-HSA-1474151	CID:53356763	pathwayCompound	reactome	1.0
R-HSA-71336	CID:5459879	pathwayCompound	reactome	1.0
R-HSA-901042	CID:56927921	pathwayCompound	reactome	1.0
R-HSA-193775	CID:56928009	pathwayCompound	reactome	1.0
R-HSA-5578996	CID:56928009	pathwayCompound	reactome	1.0
R-HSA-418594	CID:5988	pathwayCompound	reactome	1.0
R-HSA-189085	CID:5988	pathwayCompound	reactome	1.0
R-HSA-5659898	CID:5988	pathwayCompound	reactome	1.0
R-HSA-420499	CID:5988	pathwayCompound	reactome	1.0
R-HSA-196108	CID:5997	pathwayCompound	reactome	1.0
R-HSA-8964038	CID:5997	pathwayCompound	reactome	1.0
R-HSA-8866423	CID:5997	pathwayCompound	reactome	1.0
R-HSA-1369062	CID:5997	pathwayCompound	reactome	1.0
R-HSA-6809371	CID:5997	pathwayCompound	reactome	1.0
R-HSA-975634	CID:5997	pathwayCompound	reactome	1.0
R-HSA-3000484	CID:5997	pathwayCompound	reactome	1.0
R-HSA-3000480	CID:5997	pathwayCompound	reactome	1.0
R-HSA-3000471	CID:5997	pathwayCompound	reactome	1.0
R-HSA-3000497	CID:5997	pathwayCompound	reactome	1.0
R-HSA-8964058	CID:5997	pathwayCompound	reactome	1.0
R-HSA-211945	CID:5997	pathwayCompound	reactome	1.0
R-HSA-5682113	CID:5997	pathwayCompound	reactome	1.0
R-HSA-8963896	CID:5997	pathwayCompound	reactome	1.0
R-HSA-211976	CID:5997	pathwayCompound	reactome	1.0
R-HSA-193807	CID:5997	pathwayCompound	reactome	1.0
R-HSA-6807062	CID:5997	pathwayCompound	reactome	1.0
R-HSA-193775	CID:5997	pathwayCompound	reactome	1.0
R-HSA-191273	CID:5997	pathwayCompound	reactome	1.0
R-HSA-193368	CID:5997	pathwayCompound	reactome	1.0
R-HSA-1655829	CID:5997	pathwayCompound	reactome	1.0
R-HSA-6807047	CID:5997	pathwayCompound	reactome	1.0
R-HSA-192105	CID:5997	pathwayCompound	reactome	1.0
R-HSA-8963678	CID:5997	pathwayCompound	reactome	1.0
R-HSA-5679090	CID:5997	pathwayCompound	reactome	1.0
R-HSA-156584	CID:5997	pathwayCompound	reactome	1.0
R-HSA-5679096	CID:5997	pathwayCompound	reactome	1.0
R-HSA-8963888	CID:5997	pathwayCompound	reactome	1.0
R-HSA-5362768	CID:5997	pathwayCompound	reactome	1.0
R-HSA-5358346	CID:5997	pathwayCompound	reactome	1.0
R-HSA-192456	CID:5997	pathwayCompound	reactome	1.0
R-HSA-8964046	CID:5997	pathwayCompound	reactome	1.0
R-HSA-8964026	CID:5997	pathwayCompound	reactome	1.0
R-HSA-432142	CID:5997	pathwayCompound	reactome	1.0
R-HSA-8964011	CID:5997	pathwayCompound	reactome	1.0
R-HSA-8963901	CID:5997	pathwayCompound	reactome	1.0
R-HSA-8964041	CID:5997	pathwayCompound	reactome	1.0
R-HSA-202733	CID:5997	pathwayCompound	reactome	1.0
R-HSA-2168880	CID:5997	pathwayCompound	reactome	1.0
R-HSA-5686938	CID:5997	pathwayCompound	reactome	1.0
R-HSA-8856828	CID:5997	pathwayCompound	reactome	1.0
R-HSA-8856825	CID:5997	pathwayCompound	reactome	1.0
R-HSA-163560	CID:5997	pathwayCompound	reactome	1.0
R-HSA-416476	CID:6047	pathwayCompound	reactome	1.0
