:START_ID	:END_ID	:TYPE	source	score
R-HSA-69239	R-HSA-68952	pathwayContainsPathway	reactome	1.0
R-HSA-71291	R-HSA-351202	pathwayContainsPathway	reactome	1.0
R-HSA-73886	R-HSA-774815	pathwayContainsPathway	reactome	1.0
R-HSA-73942	R-HSA-5657655	pathwayContainsPathway	reactome	1.0
R-HSA-74752	R-HSA-77387	pathwayContainsPathway	reactome	1.0
R-HSA-76005	R-HSA-114516	pathwayContainsPathway	reactome	1.0
R-HSA-77286	R-HSA-77348	pathwayContainsPathway	reactome	1.0
R-HSA-77286	R-HSA-77310	pathwayContainsPathway	reactome	1.0
R-HSA-112307	R-HSA-112303	pathwayContainsPathway	reactome	1.0
R-HSA-112314	R-HSA-977443	pathwayContainsPathway	reactome	1.0
R-HSA-156587	R-HSA-159424	pathwayContainsPathway	reactome	1.0
R-HSA-157118	R-HSA-9012852	pathwayContainsPathway	reactome	1.0
R-HSA-157118	R-HSA-1980143	pathwayContainsPathway	reactome	1.0
R-HSA-168273	R-HSA-168325	pathwayContainsPathway	reactome	1.0
R-HSA-168305	R-HSA-168888	pathwayContainsPathway	reactome	1.0
R-HSA-168643	R-HSA-622312	pathwayContainsPathway	reactome	1.0
R-HSA-168898	R-HSA-168176	pathwayContainsPathway	reactome	1.0
R-HSA-168898	R-HSA-168164	pathwayContainsPathway	reactome	1.0
R-HSA-170834	R-HSA-2173791	pathwayContainsPathway	reactome	1.0
R-HSA-170834	R-HSA-2173789	pathwayContainsPathway	reactome	1.0
R-HSA-181431	R-HSA-629602	pathwayContainsPathway	reactome	1.0
R-HSA-187037	R-HSA-187015	pathwayContainsPathway	reactome	1.0
R-HSA-191650	R-HSA-191647	pathwayContainsPathway	reactome	1.0
R-HSA-193704	R-HSA-193670	pathwayContainsPathway	reactome	1.0
R-HSA-194138	R-HSA-4420097	pathwayContainsPathway	reactome	1.0
R-HSA-196071	R-HSA-194002	pathwayContainsPathway	reactome	1.0
R-HSA-196849	R-HSA-196819	pathwayContainsPathway	reactome	1.0
R-HSA-196849	R-HSA-196807	pathwayContainsPathway	reactome	1.0
R-HSA-199991	R-HSA-917729	pathwayContainsPathway	reactome	1.0
R-HSA-211897	R-HSA-211976	pathwayContainsPathway	reactome	1.0
R-HSA-373076	R-HSA-375280	pathwayContainsPathway	reactome	1.0
R-HSA-373760	R-HSA-445144	pathwayContainsPathway	reactome	1.0
R-HSA-381119	R-HSA-381070	pathwayContainsPathway	reactome	1.0
R-HSA-388396	R-HSA-418555	pathwayContainsPathway	reactome	1.0
R-HSA-388841	R-HSA-389356	pathwayContainsPathway	reactome	1.0
R-HSA-391251	R-HSA-389977	pathwayContainsPathway	reactome	1.0
R-HSA-422356	R-HSA-400042	pathwayContainsPathway	reactome	1.0
R-HSA-422356	R-HSA-399997	pathwayContainsPathway	reactome	1.0
R-HSA-425366	R-HSA-433137	pathwayContainsPathway	reactome	1.0
R-HSA-425393	R-HSA-425986	pathwayContainsPathway	reactome	1.0
R-HSA-425407	R-HSA-425393	pathwayContainsPathway	reactome	1.0
