:START_ID	:END_ID	:TYPE	source	score
R-HSA-5578775	ENSG00000276045	pathwayGene	reactome	1.0
R-HSA-8853659	ENSG00000168546	pathwayGene	reactome	1.0
R-HSA-419037	ENSG00000171119	pathwayGene	reactome	1.0
R-HSA-6805567	ENSG00000173801	pathwayGene	reactome	1.0
R-HSA-8950505	ENSG00000147065	pathwayGene	reactome	1.0
R-HSA-2029482	ENSG00000134215	pathwayGene	reactome	1.0
R-HSA-2871796	ENSG00000160293	pathwayGene	reactome	1.0
R-HSA-442380	ENSG00000196950	pathwayGene	reactome	1.0
R-HSA-2122947	ENSG00000196498	pathwayGene	reactome	1.0
R-HSA-983231	ENSG00000136238	pathwayGene	reactome	1.0
R-HSA-389359	ENSG00000136238	pathwayGene	reactome	1.0
R-HSA-442982	ENSG00000058335	pathwayGene	reactome	1.0
R-HSA-5673001	ENSG00000058335	pathwayGene	reactome	1.0
R-HSA-445095	ENSG00000153253	pathwayGene	reactome	1.0
R-HSA-177504	ENSG00000197959	pathwayGene	reactome	1.0
R-HSA-1296072	ENSG00000075043	pathwayGene	reactome	1.0
R-HSA-416476	ENSG00000102539	pathwayGene	reactome	1.0
R-HSA-444257	ENSG00000117676	pathwayGene	reactome	1.0
R-HSA-418594	ENSG00000135898	pathwayGene	reactome	1.0
R-HSA-418594	ENSG00000160683	pathwayGene	reactome	1.0
R-HSA-416476	ENSG00000101292	pathwayGene	reactome	1.0
R-HSA-420499	ENSG00000173662	pathwayGene	reactome	1.0
R-HSA-373076	ENSG00000182782	pathwayGene	reactome	1.0
R-HSA-375276	ENSG00000214285	pathwayGene	reactome	1.0
R-HSA-418594	ENSG00000277069	pathwayGene	reactome	1.0
R-HSA-5362798	ENSG00000164690	pathwayGene	reactome	1.0
R-HSA-2214320	ENSG00000053747	pathwayGene	reactome	1.0
R-HSA-3000171	ENSG00000196878	pathwayGene	reactome	1.0
R-HSA-446107	ENSG00000177697	pathwayGene	reactome	1.0
R-HSA-450302	ENSG00000134070	pathwayGene	reactome	1.0
R-HSA-9020702	ENSG00000078902	pathwayGene	reactome	1.0
R-HSA-6788467	ENSG00000095752	pathwayGene	reactome	1.0
R-HSA-6785807	ENSG00000136244	pathwayGene	reactome	1.0
R-HSA-9020591	ENSG00000168811	pathwayGene	reactome	1.0
R-HSA-449836	ENSG00000243646	pathwayGene	reactome	1.0
R-HSA-6788467	ENSG00000204671	pathwayGene	reactome	1.0
R-HSA-2151209	ENSG00000188130	pathwayGene	reactome	1.0
