:START_ID	:END_ID	:TYPE	source	score
ENSG00000036473	TDL:Tchem	targetDarkness	tcrd	1.0
ENSG00000204335	TDL:Tdark	targetDarkness	tcrd	1.0
ENSG00000163564	TDL:Tbio	targetDarkness	tcrd	1.0
ENSG00000010310	TDL:Tchem	targetDarkness	tcrd	1.0
ENSG00000129315	TDL:Tchem	targetDarkness	tcrd	1.0
ENSG00000153914	TDL:Tbio	targetDarkness	tcrd	1.0
ENSG00000110237	TDL:Tbio	targetDarkness	tcrd	1.0
ENSG00000140382	TDL:Tbio	targetDarkness	tcrd	1.0
ENSG00000131351	TDL:Tbio	targetDarkness	tcrd	1.0
ENSG00000187122	TDL:Tbio	targetDarkness	tcrd	1.0
ENSG00000108021	TDL:Tdark	targetDarkness	tcrd	1.0
ENSG00000120509	TDL:Tbio	targetDarkness	tcrd	1.0
ENSG00000152270	TDL:Tclin	targetDarkness	tcrd	1.0
ENSG00000174775	TDL:Tchem	targetDarkness	tcrd	1.0
ENSG00000142892	TDL:Tbio	targetDarkness	tcrd	1.0
ENSG00000196659	TDL:Tbio	targetDarkness	tcrd	1.0
ENSG00000135437	TDL:Tbio	targetDarkness	tcrd	1.0
ENSG00000116106	TDL:Tchem	targetDarkness	tcrd	1.0
ENSG00000021776	TDL:Tbio	targetDarkness	tcrd	1.0
ENSG00000111737	TDL:Tbio	targetDarkness	tcrd	1.0
ENSG00000122741	TDL:Tdark	targetDarkness	tcrd	1.0
ENSG00000124019	TDL:Tdark	targetDarkness	tcrd	1.0
ENSG00000146242	TDL:Tchem	targetDarkness	tcrd	1.0
ENSG00000163534	TDL:Tbio	targetDarkness	tcrd	1.0
ENSG00000006607	TDL:Tbio	targetDarkness	tcrd	1.0
ENSG00000138286	TDL:Tdark	targetDarkness	tcrd	1.0
ENSG00000134107	TDL:Tbio	targetDarkness	tcrd	1.0
ENSG00000120051	TDL:Tdark	targetDarkness	tcrd	1.0
ENSG00000167104	TDL:Tdark	targetDarkness	tcrd	1.0
ENSG00000179008	TDL:Tdark	targetDarkness	tcrd	1.0
ENSG00000118965	TDL:Tbio	targetDarkness	tcrd	1.0
ENSG00000078804	TDL:Tbio	targetDarkness	tcrd	1.0
ENSG00000121931	TDL:Tdark	targetDarkness	tcrd	1.0
ENSG00000156172	TDL:Tbio	targetDarkness	tcrd	1.0
ENSG00000254656	TDL:Tbio	targetDarkness	tcrd	1.0
ENSG00000173040	TDL:Tbio	targetDarkness	tcrd	1.0
ENSG00000109854	TDL:Tbio	targetDarkness	tcrd	1.0
ENSG00000124459	TDL:Tdark	targetDarkness	tcrd	1.0
ENSG00000105991	TDL:Tbio	targetDarkness	tcrd	1.0
ENSG00000102053	TDL:Tdark	targetDarkness	tcrd	1.0
ENSG00000223865	TDL:Tbio	targetDarkness	tcrd	1.0
ENSG00000129667	TDL:Tbio	targetDarkness	tcrd	1.0
ENSG00000183960	TDL:Tclin	targetDarkness	tcrd	1.0
ENSG00000253148	TDL:Tdark	targetDarkness	tcrd	1.0
ENSG00000183891	TDL:Tdark	targetDarkness	tcrd	1.0
ENSG00000129691	TDL:Tbio	targetDarkness	tcrd	1.0
ENSG00000116685	TDL:Tdark	targetDarkness	tcrd	1.0
ENSG00000135926	TDL:Tbio	targetDarkness	tcrd	1.0
ENSG00000198840	TDL:Tclin	targetDarkness	tcrd	1.0
ENSG00000182379	TDL:Tbio	targetDarkness	tcrd	1.0
ENSG00000118985	TDL:Tbio	targetDarkness	tcrd	1.0
ENSG00000125107	TDL:Tbio	targetDarkness	tcrd	1.0
ENSG00000215915	TDL:Tdark	targetDarkness	tcrd	1.0
ENSG00000131467	TDL:Tbio	targetDarkness	tcrd	1.0
ENSG00000117408	TDL:Tbio	targetDarkness	tcrd	1.0
ENSG00000169509	TDL:Tbio	targetDarkness	tcrd	1.0
ENSG00000117971	TDL:Tclin	targetDarkness	tcrd	1.0
ENSG00000168887	TDL:Tdark	targetDarkness	tcrd	1.0
ENSG00000167904	TDL:Tdark	targetDarkness	tcrd	1.0
ENSG00000170345	TDL:Tchem	targetDarkness	tcrd	1.0
ENSG00000161526	TDL:Tbio	targetDarkness	tcrd	1.0
ENSG00000130529	TDL:Tchem	targetDarkness	tcrd	1.0
ENSG00000178852	TDL:Tdark	targetDarkness	tcrd	1.0
ENSG00000166333	TDL:Tchem	targetDarkness	tcrd	1.0
ENSG00000159363	TDL:Tbio	targetDarkness	tcrd	1.0
ENSG00000102241	TDL:Tbio	targetDarkness	tcrd	1.0
ENSG00000163703	TDL:Tbio	targetDarkness	tcrd	1.0
ENSG00000134690	TDL:Tbio	targetDarkness	tcrd	1.0
ENSG00000091879	TDL:Tchem	targetDarkness	tcrd	1.0
ENSG00000136240	TDL:Tdark	targetDarkness	tcrd	1.0
ENSG00000163218	TDL:Tbio	targetDarkness	tcrd	1.0
ENSG00000120563	TDL:Tdark	targetDarkness	tcrd	1.0
ENSG00000125863	TDL:Tbio	targetDarkness	tcrd	1.0
ENSG00000152467	TDL:Tbio	targetDarkness	tcrd	1.0
ENSG00000162775	TDL:Tbio	targetDarkness	tcrd	1.0
ENSG00000173065	TDL:Tdark	targetDarkness	tcrd	1.0
ENSG00000166682	TDL:Tdark	targetDarkness	tcrd	1.0
ENSG00000172889	TDL:Tchem	targetDarkness	tcrd	1.0
ENSG00000144724	TDL:Tchem	targetDarkness	tcrd	1.0
ENSG00000181264	TDL:Tdark	targetDarkness	tcrd	1.0
ENSG00000215853	TDL:Tbio	targetDarkness	tcrd	1.0
ENSG00000179709	TDL:Tdark	targetDarkness	tcrd	1.0
ENSG00000151748	TDL:Tbio	targetDarkness	tcrd	1.0
ENSG00000130768	TDL:Tbio	targetDarkness	tcrd	1.0
ENSG00000172530	TDL:Tbio	targetDarkness	tcrd	1.0
ENSG00000130876	TDL:Tbio	targetDarkness	tcrd	1.0
ENSG00000198612	TDL:Tbio	targetDarkness	tcrd	1.0
ENSG00000047365	TDL:Tbio	targetDarkness	tcrd	1.0
ENSG00000186998	TDL:Tdark	targetDarkness	tcrd	1.0
ENSG00000119041	TDL:Tdark	targetDarkness	tcrd	1.0
ENSG00000187773	TDL:Tdark	targetDarkness	tcrd	1.0
ENSG00000163507	TDL:Tchem	targetDarkness	tcrd	1.0
ENSG00000077063	TDL:Tbio	targetDarkness	tcrd	1.0
ENSG00000152464	TDL:Tbio	targetDarkness	tcrd	1.0
ENSG00000141580	TDL:Tdark	targetDarkness	tcrd	1.0
ENSG00000070081	TDL:Tbio	targetDarkness	tcrd	1.0
ENSG00000182533	TDL:Tbio	targetDarkness	tcrd	1.0
ENSG00000183066	TDL:Tbio	targetDarkness	tcrd	1.0
ENSG00000103067	TDL:Tbio	targetDarkness	tcrd	1.0
ENSG00000177791	TDL:Tbio	targetDarkness	tcrd	1.0
ENSG00000115484	TDL:Tbio	targetDarkness	tcrd	1.0
ENSG00000184560	TDL:Tdark	targetDarkness	tcrd	1.0
ENSG00000124795	TDL:Tbio	targetDarkness	tcrd	1.0
ENSG00000177602	TDL:Tbio	targetDarkness	tcrd	1.0
ENSG00000178473	TDL:Tbio	targetDarkness	tcrd	1.0
ENSG00000163515	TDL:Tbio	targetDarkness	tcrd	1.0
ENSG00000206535	TDL:Tdark	targetDarkness	tcrd	1.0
ENSG00000188021	TDL:Tbio	targetDarkness	tcrd	1.0
ENSG00000178445	TDL:Tbio	targetDarkness	tcrd	1.0
ENSG00000213625	TDL:Tbio	targetDarkness	tcrd	1.0
ENSG00000132874	TDL:Tbio	targetDarkness	tcrd	1.0
ENSG00000104221	TDL:Tbio	targetDarkness	tcrd	1.0
ENSG00000145194	TDL:Tbio	targetDarkness	tcrd	1.0
ENSG00000115993	TDL:Tbio	targetDarkness	tcrd	1.0
ENSG00000143294	TDL:Tbio	targetDarkness	tcrd	1.0
ENSG00000105281	TDL:Tbio	targetDarkness	tcrd	1.0
ENSG00000197128	TDL:Tdark	targetDarkness	tcrd	1.0
ENSG00000164733	TDL:Tchem	targetDarkness	tcrd	1.0
ENSG00000110435	TDL:Tbio	targetDarkness	tcrd	1.0
ENSG00000180336	TDL:Tdark	targetDarkness	tcrd	1.0
ENSG00000139668	TDL:Tbio	targetDarkness	tcrd	1.0
ENSG00000112983	TDL:Tbio	targetDarkness	tcrd	1.0
ENSG00000133131	TDL:Tdark	targetDarkness	tcrd	1.0
ENSG00000088256	TDL:Tbio	targetDarkness	tcrd	1.0
ENSG00000102452	TDL:Tbio	targetDarkness	tcrd	1.0
ENSG00000112337	TDL:Tchem	targetDarkness	tcrd	1.0
