:START_ID	:END_ID	:TYPE	source	score
ENSG00000150051	TF:None	targetFamily	tcrd	1.0
ENSG00000121905	TF:None	targetFamily	tcrd	1.0
ENSG00000175662	TF:None	targetFamily	tcrd	1.0
ENSG00000147454	TF:Transporter	targetFamily	tcrd	1.0
ENSG00000116039	TF:Enzyme	targetFamily	tcrd	1.0
ENSG00000249709	TF:TF	targetFamily	tcrd	1.0
ENSG00000197016	TF:TF	targetFamily	tcrd	1.0
ENSG00000197903	TF:None	targetFamily	tcrd	1.0
ENSG00000083123	TF:Enzyme	targetFamily	tcrd	1.0
ENSG00000182318	TF:TF	targetFamily	tcrd	1.0
ENSG00000130024	TF:Epigenetic	targetFamily	tcrd	1.0
ENSG00000172818	TF:TF	targetFamily	tcrd	1.0
ENSG00000268173	TF:Enzyme	targetFamily	tcrd	1.0
ENSG00000084073	TF:Enzyme	targetFamily	tcrd	1.0
ENSG00000111725	TF:Kinase	targetFamily	tcrd	1.0
ENSG00000143771	TF:None	targetFamily	tcrd	1.0
ENSG00000198650	TF:Enzyme	targetFamily	tcrd	1.0
ENSG00000134339	TF:None	targetFamily	tcrd	1.0
ENSG00000105364	TF:None	targetFamily	tcrd	1.0
ENSG00000134438	TF:TF	targetFamily	tcrd	1.0
ENSG00000145087	TF:None	targetFamily	tcrd	1.0
ENSG00000151304	TF:None	targetFamily	tcrd	1.0
ENSG00000184009	TF:None	targetFamily	tcrd	1.0
ENSG00000165655	TF:None	targetFamily	tcrd	1.0
ENSG00000175745	TF:NR	targetFamily	tcrd	1.0
ENSG00000119471	TF:Enzyme	targetFamily	tcrd	1.0
ENSG00000243943	TF:TF	targetFamily	tcrd	1.0
ENSG00000171487	TF:None	targetFamily	tcrd	1.0
ENSG00000149269	TF:Kinase	targetFamily	tcrd	1.0
ENSG00000132330	TF:Enzyme	targetFamily	tcrd	1.0
ENSG00000167637	TF:TF	targetFamily	tcrd	1.0
ENSG00000062282	TF:Enzyme	targetFamily	tcrd	1.0
ENSG00000108840	TF:Epigenetic	targetFamily	tcrd	1.0
ENSG00000119121	TF:Kinase	targetFamily	tcrd	1.0
ENSG00000181218	TF:None	targetFamily	tcrd	1.0
ENSG00000196832	TF:oGPCR	targetFamily	tcrd	1.0
ENSG00000189060	TF:None	targetFamily	tcrd	1.0
ENSG00000102053	TF:Enzyme	targetFamily	tcrd	1.0
ENSG00000167548	TF:Epigenetic	targetFamily	tcrd	1.0
