id:ID	:LABEL	label	description
EC:1.1.3.8	EnzymeClass	1.1.3.8	L-gulonolactone oxidase
EC:1.1.3.12	EnzymeClass	1.1.3.12	pyridoxine 4-oxidase
EC:1.1.3.20	EnzymeClass	1.1.3.20	long-chain-alcohol oxidase
EC:1.1.3.21	EnzymeClass	1.1.3.21	glycerol-3-phosphate oxidase
EC:1.1.3.40	EnzymeClass	1.1.3.40	D-mannitol oxidase
EC:1.1.5.2	EnzymeClass	1.1.5.2	glucose 1-dehydrogenase (PQQ, quinone)
EC:1.1.99.1	EnzymeClass	1.1.99.1	choline dehydrogenase
EC:1.1.99.14	EnzymeClass	1.1.99.14	glycolate dehydrogenase
EC:1.1.99.40	EnzymeClass	1.1.99.40	(R)-2-hydroxyglutarate---pyruvate transhydrogenase
EC:1.1.1.12	EnzymeClass	1.1.1.12	L-arabinitol 4-dehydrogenase
EC:1.1.1.51	EnzymeClass	1.1.1.51	3(or 17)beta-hydroxysteroid dehydrogenase
EC:1.1.1.77	EnzymeClass	1.1.1.77	lactaldehyde reductase
EC:1.1.1.102	EnzymeClass	1.1.1.102	3-dehydrosphinganine reductase
EC:1.1.1.110	EnzymeClass	1.1.1.110	indolelactate dehydrogenase
EC:1.1.1.112	EnzymeClass	1.1.1.112	indanol dehydrogenase
EC:1.1.1.138	EnzymeClass	1.1.1.138	mannitol 2-dehydrogenase (NADP+)
EC:1.1.1.162	EnzymeClass	1.1.1.162	erythrulose reductase
EC:1.1.1.167	EnzymeClass	1.1.1.167	hydroxymalonate dehydrogenase
EC:1.1.1.185	EnzymeClass	1.1.1.185	L-glycol dehydrogenase
EC:1.1.1.214	EnzymeClass	1.1.1.214	2-dehydropantolactone reductase (Si-specific)
EC:1.1.1.224	EnzymeClass	1.1.1.224	mannose-6-phosphate 6-reductase
EC:1.1.1.290	EnzymeClass	1.1.1.290	4-phosphoerythronate dehydrogenase
EC:1.1.1.302	EnzymeClass	1.1.1.302	2,5-diamino-6-(ribosylamino)-4(3H)-pyrimidinone 5'-phosphate reductase
EC:1.1.1.358	EnzymeClass	1.1.1.358	2-dehydropantolactone reductase
EC:1.1.1.363	EnzymeClass	1.1.1.363	glucose-6-phosphate dehydrogenase [NAD(P)+]
EC:1.1.1.381	EnzymeClass	1.1.1.381	3-hydroxy acid dehydrogenase
EC:1.1.1.393	EnzymeClass	1.1.1.393	3beta-hydroxycholanate 3-dehydrogenase (NADP+)
EC:1.1.1.400	EnzymeClass	1.1.1.400	2-methyl-1,2-propanediol dehydrogenase
EC:1.2.1.3	EnzymeClass	1.2.1.3	aldehyde dehydrogenase (NAD+)
EC:1.2.2.2	EnzymeClass	1.2.2.2	pyruvate dehydrogenase (cytochrome)
EC:1.2.2.3	EnzymeClass	1.2.2.3	formate dehydrogenase (cytochrome-c-553)
EC:1.2.3.7	EnzymeClass	1.2.3.7	indole-3-acetaldehyde oxidase
EC:1.3.1.5	EnzymeClass	1.3.1.5	cucurbitacin Delta23-reductase
EC:1.3.1.14	EnzymeClass	1.3.1.14	dihydroorotate dehydrogenase (NAD+)
EC:1.3.1.49	EnzymeClass	1.3.1.49	cis-3,4-dihydrophenanthrene-3,4-diol dehydrogenase
EC:1.3.1.60	EnzymeClass	1.3.1.60	dibenzothiophene dihydrodiol dehydrogenase
EC:1.3.1.62	EnzymeClass	1.3.1.62	pimeloyl-CoA dehydrogenase
EC:1.3.1.95	EnzymeClass	1.3.1.95	acrylyl-CoA reductase (NADH)
EC:1.3.1.106	EnzymeClass	1.3.1.106	cobalt-precorrin-6A reductase
EC:1.3.1.113	EnzymeClass	1.3.1.113	(4-alkanoyl-5-oxo-2,5-dihydrofuran-3-yl)methyl phosphate reductase
EC:1.3.3.6	EnzymeClass	1.3.3.6	acyl-CoA oxidase
EC:1.3.5.-	EnzymeClass	1.3.5.-	With a quinone or related compound as acceptor
EC:1.3.99.5	EnzymeClass	1.3.99.5	3-oxo-5alpha-steroid 4-dehydrogenase (acceptor)
EC:1.3.99.12	EnzymeClass	1.3.99.12	2-methylacyl-CoA dehydrogenase
EC:1.3.99.16	EnzymeClass	1.3.99.16	isoquinoline 1-oxidoreductase
EC:1.3.99.31	EnzymeClass	1.3.99.31	phytoene desaturase (lycopene-forming)
EC:1.3.98.4	EnzymeClass	1.3.98.4	5a,11a-dehydrotetracycline reductase
EC:1.3.8.13	EnzymeClass	1.3.8.13	crotonobetainyl-CoA reductase
EC:1.4.1.1	EnzymeClass	1.4.1.1	alanine dehydrogenase
EC:1.4.1.10	EnzymeClass	1.4.1.10	glycine dehydrogenase
EC:1.4.1.11	EnzymeClass	1.4.1.11	L-erythro-3,5-diaminohexanoate dehydrogenase
EC:1.5.1.-	EnzymeClass	1.5.1.-	With NAD<small><sup>+</sup></small> or NADP<small><sup>+</sup></small> as acceptor
EC:1.5.1.16	EnzymeClass	1.5.1.16	D-lysopine dehydrogenase
EC:1.5.1.18	EnzymeClass	1.5.1.18	ephedrine dehydrogenase
EC:1.5.1.35	EnzymeClass	1.5.1.35	1-pyrroline dehydrogenase
EC:1.5.1.50	EnzymeClass	1.5.1.50	dihydromonapterin reductase
EC:1.5.3.5	EnzymeClass	1.5.3.5	(S)-6-hydroxynicotine oxidase
EC:1.5.99.13	EnzymeClass	1.5.99.13	D-proline dehydrogenase
EC:1.7.1.1	EnzymeClass	1.7.1.1	nitrate reductase (NADH)
EC:1.7.2.3	EnzymeClass	1.7.2.3	trimethylamine-N-oxide reductase (cytochrome c)
EC:1.7.3.1	EnzymeClass	1.7.3.1	nitroalkane oxidase
EC:1.8.1.3	EnzymeClass	1.8.1.3	hypotaurine dehydrogenase
EC:1.8.2.2	EnzymeClass	1.8.2.2	thiosulfate dehydrogenase
EC:1.8.3.6	EnzymeClass	1.8.3.6	farnesylcysteine lyase
EC:1.8.5.3	EnzymeClass	1.8.5.3	dimethylsulfoxide reductase
EC:1.11.1.-	EnzymeClass	1.11.1.-	Peroxidases
EC:1.11.2.4	EnzymeClass	1.11.2.4	fatty-acid peroxygenase
EC:1.12.1.4	EnzymeClass	1.12.1.4	hydrogenase (NAD+, ferredoxin)
EC:1.12.7.2	EnzymeClass	1.12.7.2	ferredoxin hydrogenase
EC:1.12.99.-	EnzymeClass	1.12.99.-	With unknown physiological acceptors
EC:1.13.11.11	EnzymeClass	1.13.11.11	tryptophan 2,3-dioxygenase
EC:1.13.11.66	EnzymeClass	1.13.11.66	hydroquinone 1,2-dioxygenase
