id:ID	:LABEL	label	biotype	description	source	source2
ENSG00000168546	Gene	GFRA2	protein_coding	GDNF family receptor alpha 2 [Source:HGNC Symbol;Acc:HGNC:4244]	ensembl	ensembl_havana
ENSG00000102539	Gene	MLNR	protein_coding	motilin receptor [Source:HGNC Symbol;Acc:HGNC:4495]	ensembl	ensembl_havana
ENSG00000198898	Gene	CAPZA2	protein_coding	capping actin protein of muscle Z-line alpha subunit 2 [Source:HGNC Symbol;Acc:HGNC:1490]	ensembl	ensembl_havana
ENSG00000101438	Gene	SLC32A1	protein_coding	solute carrier family 32 member 1 [Source:HGNC Symbol;Acc:HGNC:11018]	ensembl	ensembl_havana
ENSG00000182179	Gene	UBA7	protein_coding	ubiquitin like modifier activating enzyme 7 [Source:HGNC Symbol;Acc:HGNC:12471]	ensembl	ensembl_havana
ENSG00000137731	Gene	FXYD2	protein_coding	FXYD domain containing ion transport regulator 2 [Source:HGNC Symbol;Acc:HGNC:4026]	ensembl	ensembl_havana
ENSG00000232810	Gene	TNF	protein_coding	tumor necrosis factor [Source:HGNC Symbol;Acc:HGNC:11892]	ensembl	ensembl_havana
ENSG00000233095	Gene	HLA-G	protein_coding	major histocompatibility complex, class I, G [Source:HGNC Symbol;Acc:HGNC:4964]	ensembl	ensembl_havana
ENSG00000227715	Gene	HLA-A	protein_coding	major histocompatibility complex, class I, A [Source:HGNC Symbol;Acc:HGNC:4931]	ensembl	havana
ENSG00000282402	Gene	IGKV3-20	IG_V_gene	immunoglobulin kappa variable 3-20 [Source:HGNC Symbol;Acc:HGNC:5817]	ensembl	ensembl_havana
ENSG00000282657	Gene	IGHM	IG_C_gene	immunoglobulin heavy constant mu [Source:HGNC Symbol;Acc:HGNC:5541]	ensembl	havana
ENSG00000135114	Gene	OASL	protein_coding	2'-5'-oligoadenylate synthetase like [Source:HGNC Symbol;Acc:HGNC:8090]	ensembl	ensembl_havana
ENSG00000159917	Gene	ZNF235	protein_coding	zinc finger protein 235 [Source:HGNC Symbol;Acc:HGNC:12866]	ensembl	ensembl_havana
ENSG00000282049	Gene	PRSS2	protein_coding	protease, serine 2 [Source:HGNC Symbol;Acc:HGNC:9483]	ensembl	havana
ENSG00000197746	Gene	PSAP	protein_coding	prosaposin [Source:HGNC Symbol;Acc:HGNC:9498]	ensembl	ensembl_havana
ENSG00000122779	Gene	TRIM24	protein_coding	tripartite motif containing 24 [Source:HGNC Symbol;Acc:HGNC:11812]	ensembl	ensembl_havana
ENSG00000168542	Gene	COL3A1	protein_coding	collagen type III alpha 1 chain [Source:HGNC Symbol;Acc:HGNC:2201]	ensembl	ensembl_havana
ENSG00000238196	Gene	NOTCH4	protein_coding	notch 4 [Source:HGNC Symbol;Acc:HGNC:7884]	ensembl	havana
ENSG00000110330	Gene	BIRC2	protein_coding	baculoviral IAP repeat containing 2 [Source:HGNC Symbol;Acc:HGNC:590]	ensembl	ensembl_havana
ENSG00000105258	Gene	POLR2I	protein_coding	RNA polymerase II subunit I [Source:HGNC Symbol;Acc:HGNC:9196]	ensembl	ensembl_havana
ENSG00000111358	Gene	GTF2H3	protein_coding	general transcription factor IIH subunit 3 [Source:HGNC Symbol;Acc:HGNC:4657]	ensembl	ensembl_havana
ENSG00000136936	Gene	XPA	protein_coding	XPA, DNA damage recognition and repair factor [Source:HGNC Symbol;Acc:HGNC:12814]	ensembl	ensembl_havana
ENSG00000205220	Gene	PSMB10	protein_coding	proteasome subunit beta 10 [Source:HGNC Symbol;Acc:HGNC:9538]	ensembl	ensembl_havana
ENSG00000126945	Gene	HNRNPH2	protein_coding	heterogeneous nuclear ribonucleoprotein H2 [Source:HGNC Symbol;Acc:HGNC:5042]	ensembl	ensembl_havana
ENSG00000223367	Gene	RPS18	protein_coding	ribosomal protein S18 [Source:HGNC Symbol;Acc:HGNC:10401]	ensembl	ensembl_havana
ENSG00000177600	Gene	RPLP2	protein_coding	ribosomal protein lateral stalk subunit P2 [Source:HGNC Symbol;Acc:HGNC:10377]	ensembl	ensembl_havana
ENSG00000122406	Gene	RPL5	protein_coding	ribosomal protein L5 [Source:HGNC Symbol;Acc:HGNC:10360]	ensembl	ensembl_havana
ENSG00000187840	Gene	EIF4EBP1	protein_coding	eukaryotic translation initiation factor 4E binding protein 1 [Source:HGNC Symbol;Acc:HGNC:3288]	ensembl	ensembl_havana
ENSG00000051382	Gene	PIK3CB	protein_coding	phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit beta [Source:HGNC Symbol;Acc:HGNC:8976]	ensembl	ensembl_havana
ENSG00000092201	Gene	SUPT16H	protein_coding	SPT16 homolog, facilitates chromatin remodeling subunit [Source:HGNC Symbol;Acc:HGNC:11465]	ensembl	ensembl_havana
ENSG00000282972	Gene	GNG4	protein_coding	G protein subunit gamma 4 [Source:HGNC Symbol;Acc:HGNC:4407]	ensembl	ensembl_havana
