id:ID	:LABEL	label
R-HSA-15869	Pathway	Metabolism of nucleotides
R-HSA-68616	Pathway	Assembly of the ORC complex at the origin of replication
R-HSA-68689	Pathway	CDC6 association with the ORC:origin complex
R-HSA-68827	Pathway	CDT1 association with the CDC6:ORC:origin complex
R-HSA-68867	Pathway	Assembly of the pre-replicative complex
R-HSA-68874	Pathway	M/G1 Transition
R-HSA-68875	Pathway	Mitotic Prophase
R-HSA-68877	Pathway	Mitotic Prometaphase
R-HSA-68881	Pathway	Mitotic Metaphase/Anaphase Transition
R-HSA-68882	Pathway	Mitotic Anaphase
R-HSA-68884	Pathway	Mitotic Telophase/Cytokinesis
R-HSA-68886	Pathway	M Phase
R-HSA-68911	Pathway	G2 Phase
R-HSA-68949	Pathway	Orc1 removal from chromatin
R-HSA-68952	Pathway	DNA replication initiation
R-HSA-68962	Pathway	Activation of the pre-replicative complex
R-HSA-69002	Pathway	DNA Replication Pre-Initiation
R-HSA-69017	Pathway	CDK-mediated phosphorylation and removal of Cdc6
R-HSA-69052	Pathway	Switching of origins to a post-replicative state
R-HSA-69091	Pathway	Polymerase switching
R-HSA-69109	Pathway	Leading Strand Synthesis
R-HSA-69166	Pathway	Removal of the Flap Intermediate
R-HSA-69183	Pathway	Processive synthesis on the lagging strand
R-HSA-69186	Pathway	Lagging Strand Synthesis
R-HSA-69190	Pathway	DNA strand elongation
R-HSA-69200	Pathway	Phosphorylation of proteins involved in G1/S transition by active Cyclin E:Cdk2 complexes
R-HSA-69202	Pathway	Cyclin E associated events during G1/S transition
R-HSA-69205	Pathway	G1/S-Specific Transcription
R-HSA-69206	Pathway	G1/S Transition
R-HSA-69229	Pathway	Ubiquitin-dependent degradation of Cyclin D1
R-HSA-69231	Pathway	Cyclin D associated events in G1
R-HSA-69236	Pathway	G1 Phase
R-HSA-69239	Pathway	Synthesis of DNA
R-HSA-69242	Pathway	S Phase
R-HSA-69273	Pathway	Cyclin A/B1/B2 associated events during G2/M transition
R-HSA-69275	Pathway	G2/M Transition
R-HSA-69278	Pathway	Cell Cycle, Mitotic
R-HSA-69306	Pathway	DNA Replication
R-HSA-69416	Pathway	Dimerization of procaspase-8
R-HSA-69473	Pathway	G2/M DNA damage checkpoint
R-HSA-69478	Pathway	G2/M DNA replication checkpoint
R-HSA-69481	Pathway	G2/M Checkpoints
R-HSA-69541	Pathway	Stabilization of p53
R-HSA-69560	Pathway	Transcriptional activation of p53 responsive genes
R-HSA-69563	Pathway	p53-Dependent G1 DNA Damage Response
R-HSA-69580	Pathway	p53-Dependent G1/S DNA damage checkpoint
R-HSA-69601	Pathway	Ubiquitin Mediated Degradation of Phosphorylated Cdc25A
R-HSA-69610	Pathway	p53-Independent DNA Damage Response
R-HSA-69613	Pathway	p53-Independent G1/S DNA damage checkpoint
R-HSA-69615	Pathway	G1/S DNA Damage Checkpoints
R-HSA-69618	Pathway	Mitotic Spindle Checkpoint
R-HSA-69620	Pathway	Cell Cycle Checkpoints
R-HSA-69656	Pathway	Cyclin A:Cdk2-associated events at S phase entry
R-HSA-69895	Pathway	Transcriptional  activation of  cell cycle inhibitor p21
