id:ID	:LABEL	label
C0014356	Phenotype	Enterocolitis
C0431992	Phenotype	Transverse deficiency lower limb - through tibia/fibula
C0433880	Phenotype	Complete thoracic cord injury, without bony injury, T7-12
C0434216	Phenotype	Open injury, brachial plexus, upper roots
C0553864	Phenotype	Acute epiglottitis
C0573324	Phenotype	Dithranol overdose
C2585613	Phenotype	Hereditary elevated factor VIII
C3531838	Phenotype	Rupture of right atrioventricular (not morphologically tricuspid) valve papillary muscle
C3839979	Phenotype	Congenital anomaly of vulva in mother complicating pregnancy
C0411086	Phenotype	Disorder due to slow fetal growth, low and/or high birth weight
C0686659	Phenotype	Secondary malignant neoplasm of mesenteric lymph nodes
C1855663	Phenotype	Kaufman oculocerebrofacial syndrome
C2216374	Phenotype	Macular cyst of right eye
C2919211	Phenotype	Congenital hypoplasia of right pulmonary artery
C3164361	Phenotype	Abnormality of abdominal aorta
C4303525	Phenotype	Downhill varices of esophagus
C0205788	Phenotype	Angiolymphoid hyperplasia with eosinophilia
C0261963	Phenotype	Suicide and selfinflicted poisoning by gas distributed by pipeline
C0274208	Phenotype	Contusion of cheek
C0339700	Phenotype	Delayed rod or cone adaption
C0340013	Phenotype	Loculated empyema
C0567642	Phenotype	Fenbufen poisoning
C1274288	Phenotype	Purpura due to increased intravascular pressure
C1274400	Phenotype	Primary Cutaneous Nocardiosis
C1290895	Phenotype	Congenital anomaly of ocular adnexa
C1306049	Phenotype	Primary malignant neoplasm of postcricoid region
C1665348	Phenotype	Esophageal varices without bleeding, associated with another disorder
C3151685	Phenotype	Seizures in the newborn, refractory
C3164045	Phenotype	Lymphoma of greater curvature of stomach
C3839687	Phenotype	Spastic ectropion of upper eyelid
C4304131	Phenotype	Allergy to tree nut
C0013926	Phenotype	Air Embolism
C0406085	Phenotype	Cellulitis and abscess of lower leg
C1276063	Phenotype	Discoid pattern atopic hand dermatitis
C1276095	Phenotype	Lichen nuchae
C3532635	Phenotype	Protrusion of musculoskeletal implant
C4302411	Phenotype	Fetal or neonatal effect of fetal blood sampling
C0008311	Phenotype	Cholangitis
C0340145	Phenotype	Pneumonitis due to inhalation of regurgitated food
C0343678	Phenotype	Macular syphilide
C0433453	Phenotype	Third degree burn of cheek
C0438701	Phenotype	Closed fracture pelvis, iliac wing
C1282993	Phenotype	Congo floor maggot disease
C0272461	Phenotype	Fracture of temporal bone
C0343498	Phenotype	Gas gangrene caused by clostridium histolyticum
C0346019	Phenotype	Mucoepidermoid carcinoma of skin
C0451662	Phenotype	Injury of peripheral nerves of neck
C0573035	Phenotype	Accidental sulpiride overdose
C0578439	Phenotype	Central fracture dislocation acetabulum
C0686249	Phenotype	Secondary malignant neoplasm of isthmus of uterus
C2931216	Phenotype	Tetra-amelia autosomal recessive
C4081601	Phenotype	Tendinitis of extensor tendon of left hand
C4509954	Phenotype	Talo-patello-scaphoid osteolysis syndrome
C0236691	Phenotype	Opioid intoxication delirium
C0413421	Phenotype	Dapsone adverse reaction
C0569285	Phenotype	Intentional disopyramide poisoning
C1960538	Phenotype	Articulation disorder due to hyperkinesis
C3714511	Phenotype	Abscess of bladder
C0158619	Phenotype	Congenital insufficiency of mitral valve
C0274173	Phenotype	Burn of toe
C0398643	Phenotype	Mediterranean thrombocytopenia
C0410384	Phenotype	Acute osteomyelitis of cervical spine
C0432912	Phenotype	Traumatic blister of thigh
C0433568	Phenotype	Deep full thickness burn of multiple sites of the leg without loss of body part
C3839220	Phenotype	Ulcerative blepharitis of upper eyelid
C3875196	Phenotype	Hereditary diffuse mesangial proliferative glomerulonephritis
C4511902	Phenotype	Benign osteogenic neoplasm of bone of rib
C0264447	Phenotype	Bituminosis
C0086335	Phenotype	Ganser Syndrome
C0155584	Phenotype	Malignant hypertensive heart disease
C0267175	Phenotype	Nondiabetic gastroparesis
C0277511	Phenotype	Hakuri
