id:ID	:LABEL	label
CALOHA:TS-0001	Tissue	Abdomen
CALOHA:TS-0002	Tissue	Abdominal adipose tissue
CALOHA:TS-0012	Tissue	Adipocyte
CALOHA:TS-0013	Tissue	Adipose tissue
CALOHA:TS-0015	Tissue	Adrenal cortex
CALOHA:TS-0016	Tissue	Adrenal gland
CALOHA:TS-0017	Tissue	Adrenal glomerulosa
CALOHA:TS-0018	Tissue	Adrenal medulla
CALOHA:TS-0023	Tissue	Airway epithelium
CALOHA:TS-0030	Tissue	Alveolar macrophage
CALOHA:TS-0031	Tissue	Alveolus
CALOHA:TS-0033	Tissue	Amnion
CALOHA:TS-0034	Tissue	Amniotic fluid
CALOHA:TS-0037	Tissue	Amygdala
CALOHA:TS-0046	Tissue	Aorta
CALOHA:TS-0047	Tissue	Aortic endothelium
CALOHA:TS-0048	Tissue	Aortic smooth muscle
CALOHA:TS-0051	Tissue	Skin appendage
CALOHA:TS-0052	Tissue	Arachnoid membrane
CALOHA:TS-0054	Tissue	Artery
CALOHA:TS-0055	Tissue	Articular cartilage
CALOHA:TS-0056	Tissue	Articular chondrocyte
CALOHA:TS-0057	Tissue	Ascending colon
CALOHA:TS-0060	Tissue	Astrocyte
CALOHA:TS-0068	Tissue	B-cell
CALOHA:TS-0073	Tissue	Basophil
CALOHA:TS-0075	Tissue	Bile duct
CALOHA:TS-0076	Tissue	Blastocyst
CALOHA:TS-0079	Tissue	Blood
CALOHA:TS-0080	Tissue	Blood vessel
CALOHA:TS-0085	Tissue	Bone marrow stroma
CALOHA:TS-0087	Tissue	Bone marrow
CALOHA:TS-0088	Tissue	Bone
CALOHA:TS-0090	Tissue	Brain capillary
CALOHA:TS-0091	Tissue	Cerebral cortex
CALOHA:TS-0092	Tissue	Brain endothelium
CALOHA:TS-0093	Tissue	Brain stem
CALOHA:TS-0095	Tissue	Brain
CALOHA:TS-0099	Tissue	Brown adipose tissue
CALOHA:TS-0103	Tissue	Bulbourethral gland
CALOHA:TS-0110	Tissue	Cancellous bone
CALOHA:TS-0112	Tissue	Capillary endothelium
CALOHA:TS-0115	Tissue	Heart muscle cell
CALOHA:TS-0116	Tissue	Carotid artery
CALOHA:TS-0118	Tissue	Cartilage
CALOHA:TS-0121	Tissue	Caudate nucleus
CALOHA:TS-0122	Tissue	Cecum
CALOHA:TS-0125	Tissue	Cerebellum
CALOHA:TS-0126	Tissue	Cerebral artery
CALOHA:TS-0130	Tissue	Cerebrospinal fluid
CALOHA:TS-0134	Tissue	Uterine cervix
CALOHA:TS-0137	Tissue	Uterine cervix epithelium
CALOHA:TS-0138	Tissue	Chondrocyte
CALOHA:TS-0141	Tissue	Chorioamniotic membrane
CALOHA:TS-0144	Tissue	Chorionic membrane
CALOHA:TS-0145	Tissue	Choroid plexus
CALOHA:TS-0150	Tissue	Central nervous system
CALOHA:TS-0151	Tissue	Cochlea
CALOHA:TS-0152	Tissue	Cochlear duct
CALOHA:TS-0158	Tissue	Colon
CALOHA:TS-0162	Tissue	Colon endothelium
CALOHA:TS-0163	Tissue	Colon epithelium
CALOHA:TS-0164	Tissue	Colon mucosa
CALOHA:TS-0165	Tissue	Colon smooth muscle
CALOHA:TS-0167	Tissue	Colostrum
CALOHA:TS-0171	Tissue	Cornea
CALOHA:TS-0172	Tissue	Corneal endothelium
CALOHA:TS-0173	Tissue	Corneal epithelium
CALOHA:TS-0175	Tissue	Coronary arterial endothelium
CALOHA:TS-0176	Tissue	Coronary artery
CALOHA:TS-0180	Tissue	Corpus callosum
CALOHA:TS-0181	Tissue	Corpus luteum
CALOHA:TS-0183	Tissue	Corpus striatum
CALOHA:TS-0190	Tissue	Cytotoxic T-cell
CALOHA:TS-0193	Tissue	Decidua placentalis
CALOHA:TS-0194	Tissue	Dendritic cell
CALOHA:TS-0195	Tissue	Dental pulp
CALOHA:TS-0198	Tissue	Diaphragm
CALOHA:TS-0199	Tissue	Diencephalon
CALOHA:TS-0202	Tissue	Distal colon
CALOHA:TS-0203	Tissue	Distal colon epithelium
CALOHA:TS-0211	Tissue	Ductus ejaculatorius
CALOHA:TS-0213	Tissue	Duodenal mucosa
CALOHA:TS-0214	Tissue	Duodenum
CALOHA:TS-0216	Tissue	Ectoderm
CALOHA:TS-0229	Tissue	Embryo
CALOHA:TS-0231	Tissue	Embryonic brain
CALOHA:TS-0239	Tissue	Embryonic fibroblast
CALOHA:TS-0246	Tissue	Embryonic head
CALOHA:TS-0247	Tissue	Embryonic heart
CALOHA:TS-0249	Tissue	Embryonic kidney
CALOHA:TS-0252	Tissue	Embryonic liver
CALOHA:TS-0253	Tissue	Embryonic lung
CALOHA:TS-0254	Tissue	Embryonic lung fibroblast
CALOHA:TS-0261	Tissue	Embryonic spinal cord
CALOHA:TS-0263	Tissue	Embryonic stem cell
CALOHA:TS-0266	Tissue	Embryonic testis
